det	conf	occ	p1 p2 p3 p4 v1 v2 v3 v4 v5 size	ratio(w/h)
1	0.64346	0	1 1 1 1 0 0 0 1 0	56573	2.942
0	0	2	1 1 1 0 0 0 0 1 0	46690	3.553
1	-0.50729	0	1 1 1 1 1 0 0 1 0	2805	0.926
1	-0.42126	0	1 1 1 1 0 0 0 0 1	6298	1.409
1	-0.9895	0	0 1 1 1 0 0 1 1 0	74772	2.168
0	0	0	1 1 0 1 0 0 1 0 0	5350	2.163
1	-0.49186	0	1 1 1 1 1 1 0 1 0	2244	2.094
1	-0.90471	0	1 1 1 1 0 1 0 1 1	153095	1.365
0	0	0	1 0 0 1 1 0 1 0 0	1564	1.364
0	0	1	1 1 1 1 1 0 0 1 0	10206	0.640
1	-0.29911	0	1 1 1 0 0 0 0 1 0	9387	2.387
0	0	3	1 1 0 1 1 1 0 1 0	140400	1.444
0	0	0	1 1 0 1 0 0 0 1 0	26700	0.842
0	0	0	1 1 1 1 1 1 0 1 0	94062	1.426
1	-0.38308	0	1 1 1 1 1 1 0 1 0	20984	2.859
1	0.80727	0	1 1 1 0 0 0 0 1 0	68952	2.845
1	0.22772	1	1 1 1 1 0 0 0 1 0	41000	2.637
1	-0.49249	0	1 1 1 1 1 0 0 1 0	3136	1.313
0	0	0	1 1 1 1 1 0 0 1 0	2562	1.463
0	0	0	1 1 1 1 1 0 0 1 0	3008	1.370
0	0	0	1 1 1 1 1 0 0 1 0	3339	1.192
0	0	0	1 1 1 1 1 0 0 1 0	3250	1.306
0	0	0	1 0 0 1 0 0 1 1 0	1235	3.556
0	0	0	1 1 1 1 0 0 0 0 1	1376	1.355
0	0	0	1 1 1 1 0 0 0 0 1	1271	1.333
0	0	0	1 1 1 1 0 0 0 0 1	1200	1.345
0	0	0	1 1 1 1 0 0 0 0 1	1333	1.400
0	0	0	1 1 1 1 0 0 0 0 1	1248	1.226
0	0	0	1 1 1 1 0 0 0 0 1	1240	1.300
0	0	0	1 1 1 1 0 0 0 0 1	1271	1.333
0	0	0	1 1 1 1 0 0 0 0 1	1280	1.258
0	0	0	1 1 1 1 0 0 0 0 1	1248	1.226
1	1.5097	0	1 1 1 1 0 0 0 1 0	76608	2.725
1	-0.79714	0	1 1 0 1 1 1 0 0 0	214570	1.161
1	-0.3895	0	1 1 1 1 0 1 0 1 0	52832	3.294
0	0	1	1 1 1 1 0 1 0 1 0	91134	2.731
1	-0.84999	1	0 1 0 1 0 1 0 0 0	115038	2.161
1	-0.43433	0	1 1 1 1 1 0 0 1 0	40110	0.909
0	0	0	1 1 1 1 0 0 0 1 0	15336	2.986
1	1.1827	0	1 1 1 1 0 0 0 1 0	63720	3.515
1	-0.31649	0	1 1 1 1 1 0 0 1 0	46287	2.406
1	-0.012854	0	1 1 1 1 0 0 0 1 0	70499	3.465
0	0	3	0 0 0 1 1 0 1 0 0	4048	0.517
1	-0.79641	0	1 1 1 1 0 0 0 1 0	78120	2.778
0	0	0	1 1 1 1 0 0 0 0 1	868	1.111
1	-0.13737	0	1 1 1 1 0 0 0 1 0	44955	3.673
0	0	0	0 0 1 0 0 0 0 1 0	131738	1.203
1	-0.98937	0	1 0 1 1 0 1 0 1 0	157000	1.594
1	-0.13744	0	1 1 1 1 0 0 0 1 0	19788	4.328
1	0.51086	0	1 1 1 1 0 0 0 1 0	16498	3.125
1	-0.75618	0	1 0 0 1 0 0 0 1 0	8844	1.985
1	-0.55987	0	1 1 0 1 1 1 0 0 0	40040	3.330
1	-0.57289	1	0 1 1 1 0 1 0 0 0	57771	2.685
