det	conf	occ	p1 p2 p3 p4 v1 v2 v3 v4 v5 size	ratio(w/h)
1	2.0856	0	1 1 1 1 0 0 0 0 1	63332	1.275
1	0.76688	1	1 1 1 1 0 0 0 0 1	8349	1.765
1	-0.013668	1	1 1 1 1 0 1 0 1 0	22648	0.980
0	0	2	0 1 0 1 0 1 0 0 1	4512	0.484
0	0	2	1 1 0 1 0 1 0 1 1	10956	0.626
1	0.49257	1	1 1 0 1 0 0 0 0 1	45076	1.237
1	2.1879	0	1 1 1 1 0 0 0 0 1	101655	1.616
0	0	2	1 1 1 1 0 0 0 0 1	76167	1.620
1	0.28247	1	1 1 0 1 0 1 0 1 0	21094	0.530
1	0.77143	1	1 1 1 1 0 1 0 0 0	22275	0.438
1	1.9441	0	1 1 1 1 0 0 0 0 1	128874	1.623
1	1.903	1	1 1 1 1 0 0 0 0 1	9890	1.341
1	1.4039	1	1 1 1 1 0 0 0 0 1	7350	1.507
1	1.7499	1	1 1 1 1 0 0 0 0 1	5544	1.277
0	0	2	1 1 0 1 0 0 0 0 1	3213	1.240
1	-0.452	1	1 1 0 1 0 1 0 1 0	9120	0.630
1	-0.88162	0	1 1 0 1 0 1 0 1 0	15052	0.745
0	0	0	1 1 1 1 0 0 0 1 1	36190	1.529
1	-0.54112	2	1 1 1 1 0 0 0 1 1	35916	1.337
1	-0.54397	0	1 1 1 1 0 0 0 0 1	92547	1.243
0	0	1	1 1 0 1 0 1 0 1 1	85140	2.178
1	-0.31645	0	1 1 1 1 0 0 0 0 1	68264	1.521
1	-0.21317	1	1 1 1 1 0 1 0 1 1	156492	1.511
1	0.52999	1	1 1 0 1 0 1 0 1 0	14700	0.651
1	-0.61933	1	1 0 0 1 0 0 0 0 1	55278	0.891
1	2.6085	1	1 1 0 1 0 0 0 0 1	73233	1.305
1	2.6645	0	1 1 1 1 0 0 0 0 1	103912	1.692
0	0	1	1 1 1 0 0 1 0 1 0	24675	1.243
1	1.6968	1	1 1 0 1 0 0 0 0 1	26910	1.597
1	-0.018231	1	1 1 0 1 0 1 0 1 0	39284	0.658
1	1.9814	0	1 1 1 1 0 0 0 0 1	108378	1.839
0	0	1	1 1 0 1 0 0 0 0 1	40404	1.221
1	-0.35449	0	1 0 0 1 0 1 0 0 0	2926	2.054
0	0	0	1 1 0 1 0 1 0 0 0	3150	1.805
1	-0.67511	0	1 1 0 1 0 0 0 0 1	187000	0.747
1	-0.57731	2	1 1 0 1 0 0 0 1 1	13632	1.484
1	-0.015099	1	1 1 0 1 0 1 0 1 0	10824	0.618
1	-0.37764	0	1 1 1 1 0 0 0 0 1	7830	0.425
1	-0.68574	1	1 1 0 1 0 0 0 0 1	6840	0.471
0	0	2	1 1 0 1 0 0 1 1 0	13635	0.746
1	-0.90515	2	1 1 1 1 0 0 0 0 1	17115	1.558
1	0.98987	1	1 1 0 1 0 0 0 0 1	41028	1.690
1	0.26863	1	1 1 0 1 0 1 0 1 0	41748	0.516
1	0.39024	2	1 1 1 1 0 1 0 1 0	27810	0.379
1	-0.085594	2	1 1 0 1 0 0 0 0 1	4661	1.345
1	0.12433	1	1 1 1 1 0 0 0 0 1	5304	1.149
1	-0.14892	2	1 1 1 1 0 0 0 0 1	6552	1.078
1	-0.23915	2	1 0 1 1 0 0 0 0 1	8424	1.390
1	1.017	1	1 1 0 1 0 1 0 1 0	16250	1.040
1	0.56299	1	1 1 0 1 0 1 0 1 0	16896	0.969
1	0.90249	1	1 1 0 1 0 1 0 1 0	15494	0.960
1	0.2923	2	1 1 0 1 0 1 0 1 0	13776	1.099
1	-0.18317	1	1 1 1 1 0 0 0 0 1	5467	0.921
1	0.33141	1	1 1 0 1 0 1 0 1 0	23985	0.629
0	0	2	1 1 0 1 0 1 0 1 0	14490	0.335
0	0	1	1 1 0 1 0 1 0 1 0	34164	0.711
1	1.1616	0	1 1 1 1 0 0 0 0 1	93726	1.455
1	-0.46097	0	1 1 1 1 0 0 0 0 1	33936	1.204
1	1.1077	2	1 1 1 1 0 0 0 0 1	38582	0.945
1	-0.69278	1	1 0 1 1 0 0 0 0 1	23322	0.815
1	-0.33815	1	1 1 1 1 0 0 1 1 1	36905	0.395
1	0.23077	0	1 1 1 1 0 0 1 1 0	174000	1.238
1	-0.1813	1	1 1 1 1 0 0 0 0 1	111780	0.939
1	0.13409	1	1 1 0 1 0 1 0 1 0	7952	0.631
1	-0.73916	0	0 1 0 1 0 1 0 0 0	16416	0.709
1	1.0512	0	1 1 1 1 0 0 0 0 1	136300	1.623
1	-0.37595	1	1 1 1 1 0 0 0 0 1	115092	1.491
1	-0.61092	2	0 1 0 1 0 0 0 0 1	5751	0.875
1	-0.40513	1	1 0 0 1 0 0 1 1 0	5256	0.986
0	0	1	1 0 0 1 0 0 1 1 0	4161	0.778
0	0	2	1 0 0 1 0 0 1 1 0	1947	0.552
0	0	1	1 0 0 1 0 0 1 0 0	3220	0.374
1	1.9425	0	1 1 1 1 0 0 0 0 1	129998	1.345
1	0.24572	1	0 1 0 1 0 1 0 0 0	11659	0.677
1	0.17026	1	0 1 0 1 0 1 0 0 0	4558	0.612
1	-0.17415	1	0 1 0 1 0 1 0 0 0	9398	0.579
1	0.80906	0	1 1 1 1 0 0 0 0 1	34428	1.513
1	-0.76367	1	1 1 0 1 0 0 0 0 1	29212	1.632
0	0	1	1 0 1 1 0 0 0 0 1	26832	2.495
1	-0.66497	2	1 1 0 1 0 0 0 0 1	20250	1.112
1	-0.22443	1	0 1 1 1 0 0 1 0 0	8844	0.504
1	3.5268	0	1 1 1 1 0 0 0 0 1	153683	1.571
1	0.46272	1	1 1 0 1 0 1 0 1 0	5655	0.744
1	0.41051	1	1 1 0 1 0 1 0 1 0	5696	0.716
1	0.68624	1	1 1 0 1 0 1 0 1 0	6097	0.733
1	1.204	1	1 1 0 1 0 1 0 1 0	6532	0.769
1	-0.91486	1	0 1 0 1 0 1 0 0 0	54014	1.058
0	0	2	0 1 0 1 0 1 0 0 0	34454	0.751
0	0	0	0 0 0 1 0 0 0 0 1	113080	1.715
1	1.7625	0	1 1 1 1 0 0 0 0 1	94570	1.578
0	0	2	1 1 1 1 0 0 0 0 1	92484	1.458
1	-0.39135	1	1 1 0 1 0 0 0 0 1	11664	1.000
0	0	0	1 1 0 1 0 1 0 1 1	133533	1.205
1	1.46	1	1 1 1 1 0 0 0 0 1	31464	1.364
0	0	0	1 1 1 0 0 0 1 1 0	3551	1.269
0	0	0	1 1 1 1 0 0 1 1 0	4480	1.436
1	-0.70158	0	1 1 1 1 0 0 1 1 0	6177	1.229
1	-0.043148	0	1 1 1 1 0 0 0 0 1	8480	1.329
0	0	2	1 1 1 1 0 0 0 0 1	6461	1.286
0	0	2	0 1 0 1 0 0 0 0 1	58220	0.460
0	0	2	0 1 0 1 0 1 0 1 0	50836	0.395
0	0	0	1 1 1 1 0 1 0 1 0	87560	1.813
1	1.4621	0	1 1 1 1 0 0 0 0 1	55860	1.268
1	-0.93323	1	1 1 0 1 0 1 0 1 0	17864	0.752
1	0.89286	0	1 1 1 1 0 0 0 0 1	9317	1.579
1	0.14923	0	1 1 1 1 0 0 0 0 1	143840	1.498
0	0	1	1 1 0 1 0 1 0 1 0	14476	0.608
1	0.35758	1	1 1 0 1 0 0 0 0 1	3445	1.231
1	-0.53115	2	0 1 0 1 0 1 0 1 0	4455	0.449
0	0	2	1 0 0 1 0 0 0 0 1	2418	1.605
0	0	1	1 1 0 1 0 1 0 0 0	10224	0.490
0	0	2	1 1 0 1 0 1 0 1 0	22066	1.590
1	1.6266	0	1 1 1 1 0 0 0 0 1	174500	1.434
0	0	1	1 1 0 1 0 1 0 1 0	56386	1.039
0	0	1	1 1 0 1 0 0 0 0 1	33369	1.548
1	0.44754	2	1 1 0 1 0 0 0 0 1	57816	1.206
1	-0.22566	1	1 0 0 1 0 0 0 0 1	26532	0.655
1	1.6391	1	1 1 0 1 0 0 0 0 1	6039	1.633
1	0.57696	2	1 1 0 1 0 0 0 0 1	5544	1.403
1	1.0374	0	1 1 0 1 0 0 0 0 1	9200	1.443
1	0.23146	0	1 1 1 1 0 0 0 0 1	122255	2.041
1	0.15039	1	1 1 0 1 0 0 0 0 1	32190	1.535
1	-0.092296	1	1 1 0 1 0 0 0 0 1	43183	1.091
1	0.48322	0	1 1 1 1 0 0 0 0 1	142675	1.352
1	-0.41951	1	1 1 0 1 0 1 0 1 0	70560	0.710
1	1.3146	1	1 1 0 1 0 1 0 1 0	26250	0.593
1	-0.16349	1	1 1 0 1 0 1 0 1 0	43255	0.971
0	0	2	1 1 0 1 0 1 0 1 0	28413	0.530
1	0.75134	1	1 1 0 1 0 0 0 0 1	38664	1.208
1	0.51618	1	1 1 0 1 0 1 0 1 0	5472	0.589
1	-0.5309	2	0 1 0 1 0 0 0 0 1	3240	0.620
1	-0.59477	1	1 1 1 1 0 1 0 1 0	20234	0.887
0	0	2	1 1 0 0 0 0 0 0 1	65664	3.182
1	0.95234	1	1 1 0 1 0 0 0 0 1	46010	1.005
0	0	1	1 0 1 1 0 0 0 0 1	173500	1.442
0	0	0	0 0 1 1 0 0 0 0 1	108052	1.911
1	0.04951	1	0 1 0 1 0 1 0 0 0	5194	0.536
1	2.7563	1	1 1 0 1 0 0 0 0 1	29651	1.338
1	-0.76048	1	1 1 0 1 0 1 0 1 0	18584	0.546
0	0	0	1 1 1 1 0 0 1 1 0	131274	1.066
1	2.2855	1	1 1 1 1 0 0 0 0 1	41634	1.590
1	-0.98652	1	1 0 0 1 0 0 0 0 1	2772	1.442
1	-0.052537	1	1 1 0 1 0 1 0 1 1	6020	0.812
1	0.21491	1	1 1 1 1 0 0 0 0 1	3630	1.204
0	0	1	1 1 1 1 0 1 0 1 0	15548	1.846
1	-0.70134	3	1 1 0 0 0 0 0 0 1	75591	1.469
0	0	3	0 1 0 1 0 0 0 0 1	4452	1.596
0	0	0	1 1 0 1 0 0 0 0 1	1665	1.222
1	0.92987	1	1 1 0 1 0 0 1 1 0	16983	0.724
1	1.6743	1	1 1 0 1 0 0 0 0 1	12880	1.027
1	0.54241	1	1 1 0 1 0 0 0 0 1	11446	0.821
1	0.59423	1	1 1 1 1 0 0 1 1 0	43262	0.869
1	1.6029	0	1 1 1 1 0 1 0 1 0	61953	0.600
1	-0.002343	1	1 1 0 1 0 1 0 1 0	62910	0.862
