det	conf	occ	p1 p2 p3 p4 p5 p6 v1 v2 v3 v4 v5 size	ratio(w/h)
1	-1.0023	0	0 1 1 1 1 1 0 1 0 1 0	91776	1.609
1	-0.98398	0	1 1 1 1 1 1 0 0 0 1 0	77418	0.826
0	0	0	1 1 1 0 0 0 0 0 0 1 0	79440	0.724
0	0	0	1 1 1 1 1 1 0 0 0 1 0	29516	1.199
0	0	1	1 1 1 1 0 1 1 0 0 1 0	54093	1.128
0	0	0	1 0 0 1 1 1 0 0 1 1 1	10816	1.000
0	0	0	0 0 1 1 1 1 0 0 1 0 0	8850	0.389
1	-1.0199	0	1 1 1 1 1 1 0 1 0 1 0	67335	1.670
1	-0.98297	0	1 1 1 1 1 1 1 0 0 1 0	71278	0.722
0	0	0	1 1 1 0 1 1 0 1 0 1 0	61306	1.490
0	0	0	1 1 1 1 1 1 0 0 0 1 0	73236	1.764
0	0	0	1 1 1 1 1 1 0 0 0 1 1	28509	1.719
0	0	1	0 0 1 0 1 1 0 0 1 0 0	14873	0.768
1	-1.0201	0	0 1 1 0 0 0 0 0 0 1 0	168032	1.327
1	-1.0405	0	1 1 1 1 0 1 0 0 0 1 0	110215	1.018
0	0	1	1 0 0 1 0 1 0 1 0 1 0	48048	0.424
1	-0.94849	0	1 0 0 1 1 1 0 0 0 1 0	9020	1.346
0	0	0	1 1 1 1 1 1 0 0 0 1 1	45820	2.188
1	-1.0103	1	1 1 1 1 0 1 0 1 0 1 0	16120	0.669
1	-1.0023	0	1 1 1 1 1 1 0 0 0 1 0	145515	1.362
1	-0.99527	0	1 1 1 1 1 1 1 1 0 1 0	74547	1.184
0	0	0	1 0 1 1 1 1 0 0 0 1 0	8892	1.547
0	0	0	1 1 1 1 1 1 0 0 0 1 0	54275	0.512
0	0	0	1 1 1 1 1 1 0 1 0 1 0	54426	0.364
0	0	0	1 0 1 0 1 1 1 1 0 1 0	60060	1.364
1	-0.99468	0	1 1 1 1 1 1 0 0 0 1 1	117495	1.185
1	-0.94108	0	1 0 1 1 1 1 0 0 0 1 0	11760	1.227
1	-1.0093	0	1 1 1 1 0 0 0 1 0 0 0	26180	0.747
0	0	0	0 1 1 0 0 1 0 0 0 1 1	152586	1.275
0	0	1	1 1 1 0 1 1 0 0 0 1 0	36249	2.188
1	-0.96453	0	1 1 1 1 1 0 1 1 0 0 0	45318	0.607
1	-1.0292	0	1 0 1 1 0 1 1 1 0 1 0	21930	2.119
0	0	0	1 0 0 1 0 1 1 1 0 1 0	13888	3.656
0	0	0	1 1 0 0 1 1 1 1 0 1 0	20952	2.240
1	-1.0191	1	1 1 1 1 0 1 1 1 0 1 0	28855	1.375
0	0	1	1 1 1 0 0 1 1 1 0 1 0	19600	2.052
0	0	0	1 0 0 1 1 1 0 0 1 0 1	15984	0.769
0	0	0	1 1 1 0 0 1 0 0 0 1 0	13572	1.009
1	-0.96953	0	1 1 1 1 1 1 0 0 0 1 0	15345	1.783
0	0	0	1 0 0 1 1 1 0 0 0 1 0	10218	1.688
1	-0.99754	1	1 0 0 1 1 1 0 0 0 1 0	9000	1.608
1	-1.0121	0	1 0 1 1 1 0 0 0 0 1 0	5875	2.696
0	0	1	1 1 1 0 1 1 0 0 0 1 0	9504	0.813
1	-1.0381	0	1 0 0 1 0 1 0 0 0 1 0	14850	1.229
0	0	0	1 1 1 1 1 1 1 1 0 0 0	21614	0.469
1	-1.0025	0	0 1 1 1 1 1 0 0 1 1 1	130016	0.568
1	-1.0214	1	1 1 1 1 1 1 0 0 0 1 0	30940	0.934
