det	conf	occ	p1 p2 p3 p4 p5 p6 v1 v2 v3 v4 v5 size	ratio(w/h)
1	-0.90891	1	1 1 0 0 0 1 0 0 0 1 0	51562	3.214
0	0	0	1 0 1 0 0 0 0 1 0 1 0	1944	0.287
0	0	0	1 1 1 0 0 0 0 1 0 1 0	1344	1.323
1	-0.84148	1	1 0 0 0 1 0 0 1 0 1 0	93886	0.952
0	0	0	1 1 1 0 0 0 0 0 0 1 0	4704	2.064
1	-1.0034	0	1 0 1 0 1 0 0 0 0 1 0	100905	0.466
1	-0.92282	1	1 1 0 0 0 1 0 0 0 1 0	3619	1.652
0	0	0	1 0 0 0 1 0 0 0 0 1 0	1196	0.556
0	0	0	1 1 0 0 0 0 0 1 0 1 0	3200	2.026
1	-1.0054	1	1 0 0 0 1 0 0 0 0 1 0	2236	0.824
0	0	1	1 1 0 0 1 0 0 0 0 1 0	3645	1.818
1	-1.0226	1	1 1 1 0 0 0 0 1 0 1 0	11130	2.290
1	-0.9578	0	1 0 1 0 0 0 0 1 0 1 1	165580	1.434
0	0	0	1 0 1 0 1 0 0 0 0 1 0	107244	1.022
1	-0.90814	1	1 0 0 0 1 0 0 0 0 1 0	149000	1.680
1	-0.94673	1	1 1 0 0 0 0 0 1 0 1 0	34944	1.439
1	-0.95105	1	1 1 0 0 0 0 0 1 0 1 0	49449	1.962
0	0	2	0 1 0 0 0 0 0 1 0 1 0	20165	1.704
0	0	1	1 1 0 0 0 1 0 1 0 1 0	22788	1.963
0	0	0	1 0 0 0 1 0 0 0 0 1 0	4389	0.737
0	0	0	1 0 0 0 1 0 0 0 0 1 0	6240	0.674
1	-0.55655	0	1 0 1 0 0 0 0 0 0 1 1	45333	1.058
0	0	0	1 0 0 0 1 0 0 0 0 1 0	69130	0.718
1	-0.7229	0	1 0 0 0 1 0 0 0 0 1 0	49344	0.746
0	0	0	1 0 0 0 1 0 0 1 0 1 0	56023	0.260
1	-0.88395	0	1 1 0 0 0 1 1 1 0 1 0	25893	1.382
0	0	0	1 0 1 0 0 0 0 0 0 1 0	9975	1.106
1	-0.99501	0	1 0 0 0 0 0 0 1 0 1 0	71100	2.201
1	-0.92358	1	1 1 1 0 0 0 0 1 0 1 0	136728	0.767
0	0	0	1 1 0 0 0 0 0 1 0 1 0	68283	1.157
0	0	0	1 1 0 0 0 0 0 1 0 1 0	19701	0.495
0	0	0	1 0 0 0 0 0 0 1 0 0 0	15092	1.577
0	0	0	1 0 0 0 0 0 0 0 0 1 0	7497	2.920
0	0	1	1 0 0 0 0 0 0 0 1 1 0	12078	3.283
0	0	2	1 0 0 0 0 0 0 0 1 1 0	3002	2.108
0	0	0	1 0 0 0 0 0 0 0 1 1 0	1300	1.960
0	0	0	1 0 0 0 0 0 0 1 0 1 0	29944	0.770
1	-0.98431	0	1 0 1 0 0 0 0 1 0 1 0	55125	1.805
0	0	0	1 0 0 0 0 0 0 0 1 0 0	930	1.034
0	0	0	1 1 0 0 0 0 0 1 0 1 0	850	1.375
0	0	0	1 1 0 0 0 0 0 1 0 1 0	945	1.308
0	0	0	1 0 0 0 0 0 0 1 0 1 0	990	1.103
0	0	0	1 0 0 0 0 0 0 0 0 1 0	966	1.864
0	0	0	1 0 0 0 0 0 0 1 0 1 0	5244	0.907
0	0	0	1 1 0 0 0 0 0 1 0 1 0	3871	1.625
0	0	1	1 1 0 0 0 0 0 1 0 1 0	1800	1.128
0	0	1	1 1 0 0 0 0 0 1 0 1 0	2150	1.167
1	-0.82586	0	1 0 1 0 1 0 0 0 0 1 0	165750	0.848
0	0	0	1 0 1 0 0 0 0 0 0 1 0	9394	0.628
1	-0.9908	1	1 0 0 0 0 0 0 1 0 1 0	111714	1.681
0	0	0	1 1 0 0 0 0 0 0 0 1 0	2613	1.737
1	-0.7186	0	1 0 0 0 1 0 0 0 0 1 0	34454	0.751
1	-1.0104	0	1 0 1 0 0 0 0 1 0 1 0	6336	0.684
0	0	0	1 0 1 0 0 0 0 1 0 1 0	2660	0.453
0	0	0	1 0 1 0 0 0 0 1 0 1 0	1462	1.273
0	0	1	1 1 0 0 0 0 0 1 0 1 0	1620	1.828
0	0	0	1 1 0 0 0 0 0 1 0 1 0	1856	1.839
0	0	0	1 1 0 0 0 0 0 1 0 1 0	1952	1.935
0	0	0	1 0 0 0 0 0 0 0 0 1 1	21112	6.368
0	0	0	1 0 0 0 0 0 0 1 0 0 0	1260	1.029
1	-0.93254	0	1 1 0 0 0 1 0 0 0 1 0	2834	4.320
0	0	0	1 1 0 0 0 1 0 0 0 1 0	1752	3.130
0	0	0	1 1 0 0 0 0 0 1 0 1 0	1173	2.273
1	-1.0341	0	1 1 0 0 0 1 0 1 0 1 0	81720	2.531
1	-0.87793	0	1 1 0 0 0 0 0 1 0 1 0	113880	1.337
1	-0.16912	0	1 0 0 0 1 0 0 0 0 1 0	20895	0.525
1	-0.17508	0	1 0 1 0 1 0 0 0 0 1 0	36735	0.653
0	0	1	1 1 0 0 0 0 0 0 0 1 1	45279	3.328
0	0	0	1 0 0 0 0 0 0 0 0 1 1	30720	3.358
1	-1.0117	1	1 1 0 0 0 0 0 1 0 1 0	145824	1.689
0	0	0	1 1 1 0 0 0 0 1 0 1 1	38016	0.970
0	0	1	1 1 0 0 0 0 0 1 0 1 0	32518	1.617
0	0	0	1 1 0 0 0 0 0 0 0 1 0	21513	4.314
1	-0.82849	0	1 1 0 0 0 0 0 0 0 1 0	3572	2.514
0	0	1	1 0 0 0 0 0 0 0 0 1 0	17301	3.278
0	0	3	1 0 0 0 0 0 0 0 0 1 0	3999	4.267
0	0	0	1 0 0 0 0 0 1 1 0 1 0	106134	0.666
0	0	0	1 0 0 0 0 0 0 1 0 1 0	5840	1.097
0	0	1	1 0 0 0 0 0 0 0 0 1 0	1875	3.083
0	0	0	1 1 0 0 0 0 0 0 0 1 0	46360	3.132
1	-0.036328	0	1 0 1 0 1 0 0 0 0 1 0	73656	0.632
1	-0.67744	0	1 0 1 0 0 0 0 0 0 1 0	3772	0.440
1	-0.9069	0	1 1 1 0 0 0 0 0 0 1 0	58302	0.963
0	0	0	1 0 1 0 0 0 0 0 0 1 0	116440	1.445
0	0	0	1 0 0 0 0 0 0 0 0 1 0	1408	3.000
0	0	2	1 0 1 0 0 0 0 0 0 1 0	20930	0.806
1	-0.44212	2	1 0 1 0 0 0 0 0 0 1 0	23424	0.698
0	0	0	1 0 1 0 0 0 0 0 0 1 0	19720	0.680
0	0	1	1 0 1 0 0 0 0 1 0 0 0	3927	0.271
0	0	0	1 0 0 0 0 0 0 1 0 0 0	31436	2.348
1	-0.18915	0	1 0 1 0 1 0 0 0 0 1 0	29250	0.466
