det	conf	occ	p1 p2 p3 p4 p5 v1 v2 v3 v4 v5 size	ratio(w/h)
0	0	1	1 1 1 1 1 1 0 0 1 0	52890	0.794
1	-0.30129	0	1 1 1 0 0 0 1 0 0 0	150696	0.645
1	-0.63942	0	1 1 1 1 1 0 1 0 1 0	17363	1.854
1	-0.77194	1	1 1 1 1 1 0 1 0 1 0	97890	1.556
0	0	1	1 1 1 1 0 0 0 0 1 0	110416	1.539
0	0	2	1 1 1 1 0 0 1 0 1 0	23157	2.696
1	-0.36891	2	0 1 1 1 0 0 1 0 0 0	83050	0.910
1	-0.76374	2	1 1 1 0 0 0 0 0 1 0	51359	0.802
0	0	0	1 1 1 1 1 0 0 0 1 0	4851	1.226
0	0	0	1 1 1 1 0 1 0 0 0 0	15561	3.968
0	0	3	0 1 1 0 0 0 0 0 1 0	48138	0.942
1	-0.81677	0	1 1 0 0 1 0 0 0 1 0	58928	1.095
1	-0.40474	1	1 0 1 0 0 0 1 0 0 0	130526	0.933
0	0	2	1 1 1 1 0 1 1 0 0 0	56619	0.959
1	-0.69676	0	1 1 0 0 0 0 0 0 0 1	59620	1.233
0	0	0	1 1 1 1 0 0 0 0 1 0	29694	1.377
1	-0.57161	0	1 1 1 0 0 0 1 0 0 0	174284	1.247
1	-0.97191	1	1 1 1 1 0 0 0 0 1 0	25120	1.019
1	-0.63487	0	1 0 1 1 0 0 1 0 0 0	179417	1.378
1	-0.84925	0	1 1 1 1 1 0 0 0 1 0	106500	1.184
1	-0.88321	1	1 1 0 1 1 0 0 0 1 0	151700	1.108
1	-0.87111	0	1 1 1 1 0 1 0 0 0 0	161505	1.458
1	-0.34848	1	1 1 1 1 0 0 1 0 1 0	60060	1.126
1	-0.61326	0	1 1 1 1 0 0 0 0 1 0	114562	1.027
1	0.51323	0	1 1 1 1 0 0 1 0 0 0	22984	0.804
0	0	0	1 1 1 1 1 0 0 0 1 1	24780	0.790
0	0	0	1 1 0 0 1 0 0 0 1 1	25702	1.277
0	0	0	1 1 0 0 1 0 0 0 1 1	30338	1.281
1	-0.41103	0	1 1 1 0 0 0 1 0 1 0	139772	0.788
1	-0.63132	0	1 1 1 1 1 0 1 0 0 0	151065	0.921
1	-0.50662	0	0 1 1 0 0 0 0 0 1 0	151032	1.092
1	-0.11895	1	1 1 1 0 0 0 1 0 0 0	33327	1.288
0	0	0	1 1 1 1 1 0 1 0 0 0	7590	0.394
1	0.72447	0	1 1 1 0 0 0 1 0 0 0	159390	0.683
1	-0.70084	0	1 1 1 1 1 0 1 0 1 0	57491	1.579
1	-0.85225	0	1 1 0 1 1 0 1 0 1 0	74496	1.984
1	-0.79315	0	1 1 1 1 1 0 1 0 1 0	39600	0.686
1	-0.66658	0	0 1 1 0 0 0 1 0 1 0	66040	0.977
0	0	0	1 1 1 0 0 0 1 0 0 0	6240	0.674
0	0	2	1 1 0 1 0 0 0 0 1 0	22344	1.726
0	0	0	1 1 0 0 1 1 0 0 0 0	13959	0.700
1	-0.72629	0	1 1 1 1 1 0 0 0 1 0	53901	2.139
0	0	0	1 1 0 1 1 0 0 0 1 1	24111	0.824
1	0.095659	0	1 1 1 0 0 0 1 0 0 0	112908	1.334
0	0	0	1 1 1 1 1 0 0 0 1 0	41040	1.406
1	-0.6779	0	1 1 1 0 1 0 1 0 1 0	117306	1.660
0	0	0	1 1 1 1 1 0 1 0 1 0	51025	2.077
0	0	0	1 1 0 1 1 0 1 0 1 0	46812	1.703
0	0	2	1 0 1 0 0 0 0 0 1 0	18000	1.153
0	0	0	1 1 1 1 1 0 0 0 1 0	117468	1.868
1	-0.93145	0	1 1 1 1 1 0 0 0 1 0	94176	1.986
0	0	0	1 1 1 1 1 0 0 0 1 0	27209	0.952
0	0	0	1 1 1 1 1 0 0 0 1 0	50140	1.055
0	0	0	1 1 1 1 1 0 0 0 1 0	49949	1.263
1	-0.29575	0	1 1 1 0 0 0 0 0 1 1	118428	1.470
