det	conf	occ	p1 p2 p3 p4 v1 v2 v3 v4 v5 size	ratio(w/h)
0	0	2	1 1 1 0 0 1 0 1 0	3450	1.388
1	-0.42452	2	1 1 0 1 0 0 0 1 1	18928	0.661
0	0	2	1 1 0 1 0 0 0 1 1	18480	0.677
0	0	1	1 1 1 1 0 1 0 0 1	40482	0.738
1	-0.11678	0	1 1 0 1 0 1 0 1 1	4160	0.646
1	0.001517	1	1 1 0 1 0 0 0 1 1	5768	0.539
1	-0.18558	0	1 1 0 1 0 0 0 1 1	5356	0.500
1	0.091302	0	1 1 0 1 0 0 1 0 1	6720	0.532
1	-0.59513	1	1 1 1 1 0 0 0 1 0	32956	0.718
0	0	0	1 0 1 1 0 0 1 1 0	24336	1.000
0	0	0	0 0 1 1 0 1 0 1 0	5310	0.376
1	-1.1778	1	1 1 1 0 0 1 0 0 0	85144	1.584
1	-0.39765	1	1 1 0 1 0 0 1 1 0	6767	0.660
1	-0.76519	0	1 1 1 1 0 1 0 1 1	10764	0.439
0	0	0	1 1 1 1 0 1 0 1 1	13248	0.693
1	-0.2655	0	1 1 1 1 0 1 0 1 1	8736	0.694
1	-0.36762	1	1 1 1 1 0 1 0 0 0	3312	0.634
0	0	1	1 1 0 0 0 0 1 1 1	12221	0.833
0	0	2	1 1 0 1 0 0 1 1 1	8880	0.718
1	-0.94635	1	1 1 0 0 0 0 1 1 1	9680	0.798
0	0	3	1 1 0 0 0 1 0 1 0	2254	0.938
0	0	2	1 1 0 0 0 1 0 1 0	1872	1.237
1	-0.83499	1	1 1 0 1 0 0 0 1 0	15246	0.960
0	0	0	1 0 0 0 0 0 1 0 0	20979	1.709
1	-0.95371	1	1 0 0 1 0 1 0 1 0	9198	0.428
1	-1.003	0	1 1 1 1 0 1 0 0 1	39010	0.705
1	-0.69269	0	1 1 0 1 0 1 0 0 0	23718	0.756
0	0	1	1 1 1 1 0 1 0 0 1	10092	0.748
0	0	2	1 1 0 1 0 1 0 1 0	1988	0.386
0	0	1	1 1 0 1 0 0 1 1 0	3744	0.718
1	-0.85267	1	1 1 1 0 0 1 0 1 1	52875	1.045
1	-0.38408	1	1 1 0 1 0 0 0 1 1	22700	0.438
0	0	0	1 1 0 1 0 0 0 1 1	29380	0.573
1	-0.7263	1	1 0 1 0 0 1 0 1 0	15836	0.721
0	0	2	1 0 1 0 0 0 0 1 0	13653	1.109
1	0.17522	0	1 1 0 1 0 1 0 1 1	22912	0.713
1	-0.69529	1	1 1 1 0 0 1 0 0 1	19200	0.852
0	0	1	1 0 0 1 0 0 1 1 0	3526	0.519
0	0	0	1 1 1 0 0 1 0 0 1	18060	1.086
1	-0.61523	0	1 1 1 0 0 1 0 0 1	18352	1.195
1	-0.58894	0	1 0 0 1 0 0 1 0 0	11753	0.450
0	0	1	1 1 0 1 0 0 0 1 0	3432	0.558
1	-0.34834	2	1 1 0 1 0 0 0 1 0	11136	0.677
1	-0.16674	0	1 1 0 1 0 0 1 1 1	12285	0.897
0	0	0	1 1 0 0 0 0 1 1 0	9765	0.885
1	-0.69627	0	1 1 0 0 0 0 1 1 0	12650	1.046
1	-1.013	0	1 1 1 0 0 0 0 1 1	3840	0.595
0	0	1	1 1 0 1 0 0 1 0 1	2754	1.060
0	0	1	1 1 0 0 0 0 1 1 1	2744	1.146
0	0	2	1 1 1 0 0 0 0 1 1	2684	0.717
0	0	1	1 1 1 1 0 0 0 1 1	2346	0.485
1	-0.78993	1	1 1 1 1 0 0 0 1 1	4450	0.557
0	0	1	1 1 0 1 0 0 1 0 1	3132	0.930
1	-0.58224	1	1 1 1 1 0 0 0 1 1	4180	0.720
0	0	2	1 1 1 0 0 1 0 1 1	3528	0.676
0	0	1	1 1 1 1 0 0 0 1 1	1908	0.673
0	0	3	1 1 1 1 0 0 0 1 1	3212	0.597
1	-0.35384	2	1 1 1 1 0 0 0 1 1	4602	0.753
1	-0.93947	1	1 0 0 1 0 0 1 0 0	20216	0.874
0	0	1	1 0 0 1 0 0 1 1 0	12600	0.408
0	0	1	1 0 0 1 0 0 1 1 1	21976	0.816
0	0	1	1 0 0 0 0 0 1 1 1	19668	0.885
1	-0.59112	1	0 0 1 1 0 0 0 1 1	20758	0.451
1	-1.0498	1	1 1 1 0 0 1 0 0 0	129058	1.078
0	0	2	0 0 1 0 0 1 0 1 1	78625	2.304
0	0	1	1 1 1 1 0 0 0 1 1	84626	0.811
1	-0.98563	1	1 1 1 0 0 1 0 0 0	187500	1.334
0	0	0	1 1 1 0 0 1 0 1 0	41825	1.368
0	0	0	1 1 1 0 0 1 0 1 0	50470	1.190
1	-0.96384	2	1 1 0 0 0 0 0 1 1	165501	1.494
1	-0.71141	2	1 1 0 1 0 1 0 1 0	65626	0.665
1	-0.67344	1	1 1 0 0 0 0 1 1 1	85408	1.155
0	0	1	1 1 0 1 0 0 1 1 1	55216	0.745
0	0	2	1 0 1 0 0 1 0 1 0	87348	1.388
1	-1.1754	1	1 1 1 0 0 1 0 1 1	112200	1.030
0	0	2	0 1 0 0 0 1 0 0 0	18900	0.839
1	-0.76881	0	1 1 0 1 0 0 1 1 0	15660	0.858
1	-0.43699	1	1 1 1 0 0 1 0 0 0	4968	0.958
1	-1.1384	2	1 0 1 0 0 1 0 1 0	51759	1.142
1	-1.0946	2	1 1 1 0 0 1 0 1 0	29376	0.796
1	1.668	0	1 1 1 1 0 1 0 0 0	17160	0.628
0	0	1	1 1 1 0 0 1 0 1 0	9900	1.225
1	-1.0511	2	1 1 1 0 0 1 0 0 0	112176	0.959
0	0	2	1 0 1 0 0 0 0 1 0	12183	0.708
1	-0.89353	0	1 1 0 0 0 1 0 1 1	131705	1.045
0	0	1	1 1 0 0 0 1 0 1 1	18848	0.815
1	-0.93524	2	1 0 0 0 0 1 0 0 0	77380	1.725
1	-0.9458	1	1 1 1 1 0 0 0 1 1	27400	0.683
1	-0.88304	0	1 1 1 1 0 1 0 0 1	53040	0.921
0	0	0	1 0 0 1 0 0 1 1 0	7992	0.682
1	-0.99755	1	1 0 0 0 0 0 1 0 0	8769	0.709
0	0	2	1 0 0 0 0 1 0 1 0	8510	0.640
1	-0.63951	1	1 1 0 1 0 0 1 1 0	22977	0.534
0	0	1	1 1 0 1 0 1 0 1 1	20246	0.553
1	-0.78378	1	1 1 1 0 0 1 0 1 1	26850	0.837
1	-0.75392	1	1 1 0 1 0 0 1 1 1	10875	0.514
0	0	3	1 0 0 0 0 1 0 0 0	8349	0.567
0	0	2	1 1 0 0 0 0 1 0 0	15444	0.885
1	-0.88863	1	1 1 0 0 0 0 0 1 1	37228	0.721
0	0	1	1 1 0 0 0 0 0 1 1	24566	0.820
1	-0.1025	0	1 1 1 1 0 0 0 1 1	14469	0.570
0	0	1	1 1 1 0 0 0 0 1 0	9042	0.478
0	0	2	1 1 1 0 0 0 0 1 0	5668	0.472
1	-0.43422	0	1 1 0 1 0 0 1 0 1	19968	0.539
0	0	2	1 1 1 0 0 0 0 1 0	5159	0.868
1	-0.20278	0	1 1 1 1 0 0 0 1 0	13588	0.541
0	0	2	1 0 0 1 0 0 1 1 0	3311	0.553
1	0.27625	2	1 0 0 0 0 1 0 0 0	6832	0.541
0	0	0	1 1 1 0 0 0 0 1 1	51800	1.695
1	-1.0325	3	0 0 1 0 0 1 0 0 0	110162	2.221
0	0	2	1 0 0 0 0 1 0 1 0	5063	1.367
1	-0.87375	1	1 1 0 1 0 0 0 1 0	15386	0.622
0	0	0	1 1 0 1 0 0 1 0 1	26815	1.117
0	0	0	1 1 1 1 0 0 1 1 0	11481	0.688
1	-0.73964	0	1 0 1 1 0 0 1 0 0	11305	0.636
1	-0.96332	1	1 1 0 0 0 0 1 0 1	31959	1.266
1	-0.97387	1	1 1 0 0 0 0 0 1 1	32164	1.088
0	0	2	1 1 0 0 0 1 0 0 0	42486	0.885
1	-0.41158	0	1 1 0 1 0 1 0 0 1	7752	0.743
0	0	2	1 1 0 1 0 0 1 0 0	6270	0.691
0	0	1	1 1 0 1 0 1 0 0 0	4732	0.567
1	-1.0844	2	1 1 0 1 0 0 1 1 0	19200	1.173
0	0	1	1 1 1 1 0 1 0 0 0	6552	0.928
0	0	0	1 1 1 0 0 1 0 1 1	23068	1.083
0	0	1	1 1 1 1 0 1 0 1 0	10300	0.971
1	-0.52458	0	1 1 1 1 0 0 1 1 0	6308	0.915
1	-0.76237	1	1 1 1 0 0 0 0 1 0	3245	0.931
1	-1.0788	1	1 1 1 0 0 1 0 1 1	30076	0.707
0	0	1	1 1 1 0 0 0 1 1 1	53754	1.557
0	0	0	1 1 1 0 0 1 0 0 0	6438	0.849
0	0	1	1 1 1 0 0 1 0 0 0	7007	0.844
1	-0.90461	1	1 1 0 0 0 1 0 1 1	18733	0.915
1	-0.90255	1	1 1 0 1 0 1 0 1 0	23199	0.529
1	-0.95482	1	1 1 0 1 0 1 0 1 1	17423	0.985
0	0	1	1 1 0 0 0 1 0 1 1	6720	0.726
1	-0.13099	1	1 1 0 1 0 1 0 1 1	5600	0.441
1	-0.82481	0	1 1 0 1 0 1 0 1 0	8268	0.733
0	0	2	1 1 1 0 0 1 0 1 0	43071	0.500
1	-0.75216	0	1 1 1 1 0 0 1 0 1	33369	0.646
1	-1.099	1	0 1 0 1 0 0 0 1 1	129978	1.912
1	-0.74107	1	1 1 0 1 0 0 1 0 0	10496	0.638
1	-0.98553	1	1 1 1 1 0 0 0 1 0	9676	0.692
0	0	0	0 1 0 1 0 0 0 1 0	33687	0.867
1	-0.66016	0	1 1 1 1 0 0 1 1 0	15000	0.664
0	0	3	1 0 0 1 0 1 0 1 0	4935	0.442
0	0	2	0 1 0 1 0 0 0 1 0	2065	0.586
1	-0.74577	0	1 1 1 0 0 1 0 1 1	20670	0.816
0	0	0	1 1 0 1 0 1 0 1 0	2576	0.818
1	-0.55471	0	1 1 0 1 0 0 1 1 1	31140	0.961
1	-0.02052	1	1 1 0 1 0 0 1 1 1	22272	0.602
1	0.026371	2	1 1 0 1 0 1 0 1 1	25168	0.427
0	0	1	1 1 0 0 0 1 0 0 1	110035	0.790
1	-0.77132	1	1 1 0 1 0 1 0 1 1	25110	1.045
1	-1.0492	0	1 1 0 1 0 0 1 1 0	9196	0.625
1	-0.96222	0	1 1 0 1 0 1 0 1 0	9594	0.698
