det	conf	occ	p1 p2 v1 v2 size	ratio(w/h)
0	0	1	1 1 1 1	36072	1.295
0	0	2	1 1 1 1	17700	1.778
0	0	2	1 1 1 1	6188	5.485
0	0	2	0 1 0 1	43472	2.134
0	0	1	0 1 1 1	41550	1.852
0	0	1	1 1 1 1	35778	2.000
0	0	3	0 1 0 1	57088	1.149
0	0	2	1 1 1 1	8701	1.474
0	0	2	0 1 0 1	143500	1.745
0	0	0	1 1 1 1	58844	0.599
0	0	2	0 1 0 1	48258	3.056
0	0	2	1 1 1 1	23112	1.991
0	0	1	0 1 0 1	7979	1.282
0	0	1	0 1 0 1	4000	1.612
0	0	1	0 1 0 1	8526	0.277
0	0	1	0 1 1 1	1750	1.441
1	-0.4831	1	1 1 1 1	71610	1.627
0	0	2	0 1 0 1	57120	2.239
1	-0.2587	2	0 1 0 1	142590	1.686
1	-0.65625	2	0 1 0 1	71269	1.635
1	-0.46193	2	0 1 0 1	128960	1.911
1	-0.62069	1	1 1 1 1	128892	1.695
1	-0.7387	1	0 1 0 1	92256	2.676
0	0	1	0 1 0 1	44405	3.906
1	-0.70135	2	1 1 1 1	49610	1.181
0	0	2	0 1 0 1	52438	2.135
0	0	2	1 1 1 1	15022	2.767
1	-0.71668	2	1 1 1 1	51816	1.246
0	0	1	1 1 1 1	27004	1.096
1	0.26117	1	1 1 1 1	104976	2.256
1	-0.418	3	0 1 0 1	70892	3.252
0	0	3	0 1 0 1	140958	0.966
1	0.49262	1	0 1 0 1	120786	2.000
0	0	0	0 1 0 1	23217	4.657
1	-0.7091	1	0 1 0 1	141732	0.976
0	0	1	0 1 1 1	15447	4.821
1	-0.85883	2	1 1 1 1	56760	2.091
1	-0.69335	2	0 1 0 1	163183	1.491
0	0	2	0 1 0 1	83054	0.826
1	-0.27238	2	1 1 0 1	83839	2.040
0	0	0	1 1 1 1	10008	0.514
1	-0.23356	1	1 1 1 1	76050	1.504
1	-0.13703	2	0 1 0 1	77745	1.624
1	-0.88287	2	1 1 1 1	70411	2.360
0	0	2	0 1 0 1	178143	1.399
0	0	1	0 1 0 1	77376	3.194
1	-0.80641	3	0 1 1 1	60060	1.126
1	-0.45475	1	1 1 1 1	40600	1.938
1	-0.35287	1	1 1 1 1	77520	2.153
0	0	1	0 1 1 1	20844	1.794
1	-0.85952	2	0 1 1 1	12078	2.800
1	-0.55703	2	0 1 0 1	134862	1.813
0	0	1	1 1 1 1	6962	2.017
1	-0.73531	2	1 1 1 1	94965	2.505
1	-0.40642	2	0 1 0 1	37278	2.885
1	-0.53967	1	0 1 1 1	37204	2.177
1	-0.21058	1	0 1 1 1	7548	2.940
1	-0.04277	1	1 1 1 1	56235	2.123
1	-0.46607	1	1 1 1 1	25938	1.515
0	0	1	1 1 1 1	7875	2.000
1	-0.44047	1	0 1 0 1	120780	2.033
1	-0.50418	3	0 1 0 1	126731	1.607
0	0	0	1 1 1 1	21500	1.379
0	0	0	1 1 1 0	12726	0.800
1	0.31083	1	0 1 0 1	50566	2.962
0	0	2	1 1 1 1	16416	1.411
0	0	2	1 1 1 1	53457	1.791
1	-0.61007	3	0 1 0 1	59740	2.854
1	-0.15358	0	1 1 1 1	49686	1.503
1	-0.52514	1	0 1 0 1	94050	1.245
0	0	2	1 1 1 1	64256	0.980
0	0	2	1 1 1 0	34196	3.245
1	-0.40283	2	0 1 1 1	53200	1.476
1	-0.30187	1	1 1 1 1	72080	1.607
0	0	2	0 1 0 1	124832	0.883
0	0	1	1 1 1 1	45864	1.195
1	-0.38945	3	0 1 0 1	46170	2.545
1	0.27371	2	0 1 1 1	61950	1.983
1	-0.59263	1	1 1 1 1	44200	1.106
1	0.14566	2	0 1 0 1	127958	1.707
1	-0.8001	3	0 1 0 1	136136	1.028
1	-0.010807	1	0 1 0 1	133500	1.876
1	-0.38478	2	0 1 0 1	99591	1.398
0	0	1	0 1 0 1	152516	1.152
1	-0.89982	1	1 0 1 0	33142	1.559
1	-0.50601	1	0 1 1 1	34443	2.078
0	0	1	0 1 1 1	10290	2.116
0	0	1	0 1 1 1	23980	2.028
0	0	1	0 1 0 1	51792	2.135
1	0.05321	1	0 1 1 1	115038	2.161
0	0	2	0 1 0 1	166500	1.503
0	0	2	0 1 0 1	32250	1.945
0	0	1	1 1 1 1	8664	1.507
0	0	1	0 1 0 1	65369	3.831
0	0	1	0 1 0 1	151302	1.357
1	-0.77132	1	1 1 1 1	10788	3.246
0	0	1	0 1 1 1	4386	3.879
0	0	3	0 1 0 1	35723	1.855
1	-0.5522	2	1 1 1 1	81940	1.413
1	-0.46306	3	0 1 0 1	51156	2.377
1	-0.76433	2	0 1 0 1	76405	0.878
1	-0.57741	3	0 1 0 1	103792	2.406
0	0	2	0 1 0 1	42971	4.604
1	-0.54166	2	1 1 1 1	86680	2.240
