det	conf	occ	p1 p2 p3 p4 v1 v2 v3 v4 v5 size	ratio(w/h)
1	0.62411	0	1 1 1 1 0 0 0 1 0	56573	2.942
1	-0.74555	2	1 1 1 0 0 0 0 1 0	46690	3.553
1	0.54833	0	1 1 1 1 1 0 0 1 0	2805	0.926
1	1.1896	0	1 1 1 1 0 0 0 0 1	6298	1.409
0	0	0	0 1 1 1 0 0 1 1 0	74772	2.168
0	0	0	1 1 0 1 0 0 1 0 0	5350	2.163
1	1.1249	0	1 1 1 1 1 1 0 1 0	2244	2.094
1	-0.73976	0	1 1 1 1 0 1 0 1 1	153095	1.365
0	0	0	1 0 0 1 1 0 1 0 0	1564	1.364
0	0	1	1 1 1 1 1 0 0 1 0	10206	0.640
1	-0.19326	0	1 1 1 0 0 0 0 1 0	9387	2.387
1	-1.2759	3	1 1 0 1 1 1 0 1 0	140400	1.444
1	-0.6267	0	1 1 0 1 0 0 0 1 0	26700	0.842
1	-0.34586	0	1 1 1 1 1 1 0 1 0	94062	1.426
1	0.72811	0	1 1 1 1 1 1 0 1 0	20984	2.859
1	-0.043183	0	1 1 1 0 0 0 0 1 0	68952	2.845
1	0.21143	1	1 1 1 1 0 0 0 1 0	41000	2.637
1	0.77204	0	1 1 1 1 1 0 0 1 0	3136	1.313
1	0.62415	0	1 1 1 1 1 0 0 1 0	2562	1.463
1	0.16508	0	1 1 1 1 1 0 0 1 0	3008	1.370
1	0.55613	0	1 1 1 1 1 0 0 1 0	3339	1.192
1	0.12879	0	1 1 1 1 1 0 0 1 0	3250	1.306
0	0	0	1 0 0 1 0 0 1 1 0	1235	3.556
1	0.2776	0	1 1 1 1 0 0 0 0 1	1376	1.355
1	0.20624	0	1 1 1 1 0 0 0 0 1	1271	1.333
1	-0.24805	0	1 1 1 1 0 0 0 0 1	1200	1.345
0	0	0	1 1 1 1 0 0 0 0 1	1333	1.400
0	0	0	1 1 1 1 0 0 0 0 1	1248	1.226
1	-0.37027	0	1 1 1 1 0 0 0 0 1	1240	1.300
0	0	0	1 1 1 1 0 0 0 0 1	1271	1.333
1	-0.21939	0	1 1 1 1 0 0 0 0 1	1280	1.258
1	-0.0052815	0	1 1 1 1 0 0 0 0 1	1248	1.226
1	1.0614	0	1 1 1 1 0 0 0 1 0	76608	2.725
1	-0.46057	0	1 1 0 1 1 1 0 0 0	214570	1.161
1	-0.0013398	0	1 1 1 1 0 1 0 1 0	52832	3.294
1	-0.84365	1	1 1 1 1 0 1 0 1 0	91134	2.731
1	-0.87986	1	0 1 0 1 0 1 0 0 0	115038	2.161
