det	conf	occ	p1 p2 p3 p4 v1 v2 v3 v4 v5 size	ratio(w/h)
1	0.69903	0	1 1 1 1 0 0 0 0 1	63332	1.275
1	0.069714	1	1 1 1 1 0 0 0 0 1	8349	1.765
1	0.36978	1	1 1 1 1 0 1 0 1 0	22648	0.980
1	-1.2257	2	0 1 0 1 0 1 0 0 1	4512	0.484
1	-0.74108	2	1 1 0 1 0 1 0 1 1	10956	0.626
1	0.095033	1	1 1 0 1 0 0 0 0 1	45076	1.237
1	0.86754	0	1 1 1 1 0 0 0 0 1	101655	1.616
0	0	2	1 1 1 1 0 0 0 0 1	76167	1.620
1	0.2853	1	1 1 0 1 0 1 0 1 0	21094	0.530
1	0.40887	1	1 1 1 1 0 1 0 0 0	22275	0.438
1	-0.11347	0	1 1 1 1 0 0 0 0 1	128874	1.623
1	1.3595	1	1 1 1 1 0 0 0 0 1	9890	1.341
1	0.1753	1	1 1 1 1 0 0 0 0 1	7350	1.507
1	0.51476	1	1 1 1 1 0 0 0 0 1	5544	1.277
0	0	2	1 1 0 1 0 0 0 0 1	3213	1.240
1	-0.096773	1	1 1 0 1 0 1 0 1 0	9120	0.630
0	0	0	1 1 0 1 0 1 0 1 0	15052	0.745
1	-0.53429	0	1 1 1 1 0 0 0 1 1	36190	1.529
0	0	2	1 1 1 1 0 0 0 1 1	35916	1.337
1	-0.25111	0	1 1 1 1 0 0 0 0 1	92547	1.243
1	-1.0021	1	1 1 0 1 0 1 0 1 1	85140	2.178
1	-0.1851	0	1 1 1 1 0 0 0 0 1	68264	1.521
1	-0.68635	1	1 1 1 1 0 1 0 1 1	156492	1.511
1	-0.18531	1	1 1 0 1 0 1 0 1 0	14700	0.651
1	-0.28797	1	1 0 0 1 0 0 0 0 1	55278	0.891
1	0.14539	1	1 1 0 1 0 0 0 0 1	73233	1.305
1	1.3134	0	1 1 1 1 0 0 0 0 1	103912	1.692
0	0	1	1 1 1 0 0 1 0 1 0	24675	1.243
1	0.56455	1	1 1 0 1 0 0 0 0 1	26910	1.597
1	-0.28061	1	1 1 0 1 0 1 0 1 0	39284	0.658
1	0.13521	0	1 1 1 1 0 0 0 0 1	108378	1.839
1	-0.56744	1	1 1 0 1 0 0 0 0 1	40404	1.221
1	-0.96241	0	1 0 0 1 0 1 0 0 0	2926	2.054
0	0	0	1 1 0 1 0 1 0 0 0	3150	1.805
0	0	0	1 1 0 1 0 0 0 0 1	187000	0.747
0	0	2	1 1 0 1 0 0 0 1 1	13632	1.484
1	0.12255	1	1 1 0 1 0 1 0 1 0	10824	0.618
0	0	0	1 1 1 1 0 0 0 0 1	7830	0.425
0	0	1	1 1 0 1 0 0 0 0 1	6840	0.471
0	0	2	1 1 0 1 0 0 1 1 0	13635	0.746
1	-0.719	2	1 1 1 1 0 0 0 0 1	17115	1.558
1	0.24868	1	1 1 0 1 0 0 0 0 1	41028	1.690
0	0	1	1 1 0 1 0 1 0 1 0	41748	0.516
0	0	2	1 1 1 1 0 1 0 1 0	27810	0.379
1	-0.44561	2	1 1 0 1 0 0 0 0 1	4661	1.345
1	-0.78097	1	1 1 1 1 0 0 0 0 1	5304	1.149
1	-0.97302	2	1 1 1 1 0 0 0 0 1	6552	1.078
0	0	2	1 0 1 1 0 0 0 0 1	8424	1.390
1	0.7737	1	1 1 0 1 0 1 0 1 0	16250	1.040
1	0.91685	1	1 1 0 1 0 1 0 1 0	16896	0.969
1	0.8116	1	1 1 0 1 0 1 0 1 0	15494	0.960
0	0	2	1 1 0 1 0 1 0 1 0	13776	1.099
1	-0.60367	1	1 1 1 1 0 0 0 0 1	5467	0.921
0	0	1	1 1 0 1 0 1 0 1 0	23985	0.629
0	0	2	1 1 0 1 0 1 0 1 0	14490	0.335
0	0	1	1 1 0 1 0 1 0 1 0	34164	0.711
1	-0.34933	0	1 1 1 1 0 0 0 0 1	93726	1.455
1	0.88033	0	1 1 1 1 0 0 0 0 1	33936	1.204
1	0.70642	2	1 1 1 1 0 0 0 0 1	38582	0.945
1	0.10269	1	1 0 1 1 0 0 0 0 1	23322	0.815
0	0	1	1 1 1 1 0 0 1 1 1	36905	0.395
1	0.099258	0	1 1 1 1 0 0 1 1 0	174000	1.238
1	-0.46426	1	1 1 1 1 0 0 0 0 1	111780	0.939
1	0.29056	1	1 1 0 1 0 1 0 1 0	7952	0.631
1	-0.10771	0	0 1 0 1 0 1 0 0 0	16416	0.709
1	0.30687	0	1 1 1 1 0 0 0 0 1	136300	1.623
0	0	1	1 1 1 1 0 0 0 0 1	115092	1.491
0	0	2	0 1 0 1 0 0 0 0 1	5751	0.875
1	-0.12238	1	1 0 0 1 0 0 1 1 0	5256	0.986
