det	conf	occ	p1 p2 p3 p4 p5 p6 v1 v2 v3 v4 v5 size	ratio(w/h)
1	-0.13331	0	0 1 1 1 1 1 0 1 0 1 0	91776	1.609
1	-0.38846	0	1 1 1 1 1 1 0 0 0 1 0	77418	0.826
1	-0.30742	0	1 1 1 0 0 0 0 0 0 1 0	79440	0.724
1	-0.28934	0	1 1 1 1 1 1 0 0 0 1 0	29516	1.199
1	-0.37425	1	1 1 1 1 0 1 1 0 0 1 0	54093	1.128
0	0	0	1 0 0 1 1 1 0 0 1 1 1	10816	1.000
0	0	0	0 0 1 1 1 1 0 0 1 0 0	8850	0.389
0	0	0	1 1 1 1 1 1 0 1 0 1 0	67335	1.670
1	-0.57102	0	1 1 1 1 1 1 1 0 0 1 0	71278	0.722
1	0.092312	0	1 1 1 0 1 1 0 1 0 1 0	61306	1.490
1	0.17736	0	1 1 1 1 1 1 0 0 0 1 0	73236	1.764
0	0	0	1 1 1 1 1 1 0 0 0 1 1	28509	1.719
1	-0.47302	1	0 0 1 0 1 1 0 0 1 0 0	14873	0.768
1	-0.71733	0	0 1 1 0 0 0 0 0 0 1 0	168032	1.327
1	-0.40907	0	1 1 1 1 0 1 0 0 0 1 0	110215	1.018
0	0	1	1 0 0 1 0 1 0 1 0 1 0	48048	0.424
1	-0.84479	0	1 0 0 1 1 1 0 0 0 1 0	9020	1.346
1	0.041173	0	1 1 1 1 1 1 0 0 0 1 1	45820	2.188
1	-0.47263	1	1 1 1 1 0 1 0 1 0 1 0	16120	0.669
1	-0.26486	0	1 1 1 1 1 1 0 0 0 1 0	145515	1.362
0	0	0	1 1 1 1 1 1 1 1 0 1 0	74547	1.184
0	0	0	1 0 1 1 1 1 0 0 0 1 0	8892	1.547
0	0	0	1 1 1 1 1 1 0 0 0 1 0	54275	0.512
0	0	0	1 1 1 1 1 1 0 1 0 1 0	54426	0.364
1	-0.29323	0	1 0 1 0 1 1 1 1 0 1 0	60060	1.364
1	0.31094	0	1 1 1 1 1 1 0 0 0 1 1	117495	1.185
1	-0.033106	0	1 0 1 1 1 1 0 0 0 1 0	11760	1.227
1	-0.35494	0	1 1 1 1 0 0 0 1 0 0 0	26180	0.747
0	0	0	0 1 1 0 0 1 0 0 0 1 1	152586	1.275
1	-0.54924	1	1 1 1 0 1 1 0 0 0 1 0	36249	2.188
1	0.38015	0	1 1 1 1 1 0 1 1 0 0 0	45318	0.607
1	-0.80571	0	1 0 1 1 0 1 1 1 0 1 0	21930	2.119
0	0	0	1 0 0 1 0 1 1 1 0 1 0	13888	3.656
0	0	0	1 1 0 0 1 1 1 1 0 1 0	20952	2.240
0	0	1	1 1 1 1 0 1 1 1 0 1 0	28855	1.375
0	0	1	1 1 1 0 0 1 1 1 0 1 0	19600	2.052
0	0	0	1 0 0 1 1 1 0 0 1 0 1	15984	0.769
1	-0.9412	0	1 1 1 0 0 1 0 0 0 1 0	13572	1.009
0	0	0	1 1 1 1 1 1 0 0 0 1 0	15345	1.783
0	0	0	1 0 0 1 1 1 0 0 0 1 0	10218	1.688
0	0	1	1 0 0 1 1 1 0 0 0 1 0	9000	1.608
1	-0.9712	0	1 0 1 1 1 0 0 0 0 1 0	5875	2.696
1	-0.64229	1	1 1 1 0 1 1 0 0 0 1 0	9504	0.813
0	0	0	1 0 0 1 0 1 0 0 0 1 0	14850	1.229
1	-0.1383	0	1 1 1 1 1 1 1 1 0 0 0	21614	0.469
0	0	0	0 1 1 1 1 1 0 0 1 1 1	130016	0.568
0	0	1	1 1 1 1 1 1 0 0 0 1 0	30940	0.934
1	-0.14031	0	1 1 1 0 1 1 1 1 0 1 0	57618	0.679
1	-0.62572	0	0 1 1 0 1 1 0 0 1 0 0	10875	0.514
0	0	0	1 1 1 1 1 1 0 0 1 0 0	14287	0.577
1	0.066491	1	1 1 1 0 1 1 0 0 0 1 0	109098	0.933
1	-0.39883	0	1 1 1 1 0 0 0 1 0 0 0	11618	0.468
0	0	0	1 0 1 1 1 1 0 0 0 1 0	5183	1.029
0	0	1	1 0 0 1 0 1 0 0 0 1 0	5964	0.843
0	0	0	1 0 1 1 0 0 0 0 1 0 0	2613	0.576
0	0	1	1 0 1 0 1 1 0 0 0 1 0	1980	0.977
0	0	0	1 0 0 1 0 0 0 0 0 1 0	1224	1.061
1	-0.27922	0	1 0 0 1 1 1 0 0 0 1 0	2537	1.381
0	0	1	1 0 1 1 1 1 0 0 0 1 0	2990	1.422
0	0	0	1 0 0 0 1 1 0 1 0 1 1	2808	0.962
1	-0.42277	1	1 1 1 0 1 1 0 0 0 1 0	21648	1.434
1	0.21216	0	1 1 1 0 1 1 0 0 0 1 0	70092	1.792
0	0	0	1 0 0 0 1 1 0 0 1 1 0	782	0.667
0	0	1	1 0 0 0 1 1 0 0 0 1 0	306	0.941
1	-0.64741	0	0 1 1 0 0 1 0 1 0 1 0	140790	1.736
0	0	1	1 0 1 1 1 1 0 0 0 1 0	4320	1.491
1	-0.1387	0	1 1 1 1 1 1 0 1 0 1 0	12212	1.659
1	-0.68713	1	1 0 1 1 1 0 0 0 0 1 0	12638	1.602
1	-0.45604	1	1 1 1 1 0 1 0 0 0 1 0	11660	0.963
1	-0.5232	0	0 1 1 0 0 1 0 0 0 1 1	38640	0.876
1	0.35137	0	1 1 1 0 0 1 0 0 1 1 0	41907	1.253
0	0	0	1 1 1 1 0 0 0 1 0 0 0	2079	0.516
0	0	2	1 1 1 0 0 0 0 1 0 0 0	475	0.750
1	-0.39283	0	1 1 1 1 1 0 1 1 0 1 0	2318	0.617
1	-0.60926	0	1 0 1 1 0 1 1 1 0 1 0	2400	0.959
0	0	1	1 1 1 0 0 0 0 1 0 0 0	1170	0.763
0	0	1	1 1 1 1 0 0 1 1 0 0 0	1440	0.617
0	0	1	1 1 1 1 0 0 1 1 0 0 0	1426	0.667
1	0.0074551	0	1 1 1 0 0 0 0 0 0 1 0	143550	1.319
1	-0.22949	0	1 1 1 1 1 0 0 1 0 1 1	43434	0.672
1	0.26579	0	1 1 1 1 0 0 0 1 0 0 1	26904	0.515
1	0.062857	0	1 1 1 1 1 1 0 0 0 1 0	71910	1.303
1	-0.40154	1	1 1 1 1 1 1 1 1 0 1 0	16368	0.526
0	0	1	1 1 1 0 1 0 0 0 1 1 0	32004	0.494
0	0	0	1 1 1 1 1 0 0 0 0 1 0	3160	2.000
1	-0.77888	0	1 0 1 0 1 1 0 0 1 1 0	15730	1.075
1	-0.76755	1	1 1 1 0 1 1 0 1 0 1 0	29607	1.536
0	0	1	1 1 1 1 1 1 0 0 0 1 0	35670	1.701
0	0	0	1 1 1 1 1 1 0 0 0 1 1	37440	2.613
0	0	0	0 0 1 1 1 1 0 0 1 1 1	2365	0.778
0	0	0	1 0 0 1 1 1 0 0 1 1 0	570	0.621
0	0	1	1 0 1 0 1 1 0 0 0 1 1	2035	0.667
1	-0.38063	0	1 1 1 1 1 1 1 0 0 1 0	94180	1.228
1	-0.17508	0	1 1 1 0 0 1 0 0 0 1 0	102476	0.732
1	-0.2226	0	1 1 1 1 1 1 0 0 0 1 0	85885	2.313
0	0	0	1 1 1 0 0 0 0 0 0 1 0	34104	0.887
1	-0.19664	0	1 1 1 0 1 1 0 0 0 1 0	34604	0.776
1	-0.26801	0	1 1 1 0 0 1 0 0 1 1 0	143792	0.642
0	0	0	1 1 1 0 0 0 0 1 0 0 0	1280	0.795
0	0	0	1 1 1 1 0 1 0 0 0 1 0	1596	0.902
1	0.46545	0	1 1 1 1 1 1 0 0 0 1 0	11954	1.624
1	-0.42996	1	1 1 1 0 1 1 0 0 0 1 0	17050	1.413
0	0	0	1 1 1 0 0 1 0 1 0 1 0	2401	1.000
0	0	1	1 1 1 0 1 1 0 1 0 1 0	2747	1.650
1	-0.44587	0	1 1 1 0 1 1 0 0 0 1 0	3600	1.795
0	0	0	1 1 1 0 1 1 0 0 0 1 0	3330	1.659
0	0	0	1 1 1 0 1 1 0 0 0 1 0	3645	1.818
1	-0.67276	0	1 1 1 0 1 1 0 0 0 1 0	4472	1.667
1	0.14863	0	1 1 1 0 1 1 0 0 0 1 0	6741	1.710
1	-0.2419	0	1 1 1 1 1 1 0 0 1 1 0	56935	0.653
1	-0.82137	0	1 1 1 1 1 1 0 0 1 1 0	42380	0.625
0	0	2	0 1 1 0 0 0 0 0 0 1 0	6804	0.964
0	0	0	1 1 1 1 1 1 0 0 0 1 0	118864	1.140
1	-0.27575	0	1 1 1 1 0 0 0 1 0 0 0	6014	0.635
0	0	1	1 0 1 1 0 0 0 1 0 1 0	1360	0.846
1	-0.92111	0	1 1 1 1 0 1 0 1 0 1 0	7020	0.865
0	0	0	1 1 1 1 0 1 0 1 0 1 0	5642	0.678
0	0	0	1 0 1 1 0 1 0 1 0 1 0	11060	0.561
0	0	0	1 1 1 1 0 0 0 1 0 0 0	1092	0.610
0	0	0	1 1 1 1 0 0 0 1 0 0 0	1275	0.480
0	0	0	1 1 1 0 0 1 0 1 0 1 0	46535	1.108
0	0	1	1 0 0 1 0 1 0 0 0 1 0	16500	0.947
0	0	2	1 1 1 0 1 1 0 0 0 1 0	6900	1.932
1	-0.45682	0	1 1 1 0 0 0 0 0 0 1 0	93750	1.502
1	-0.33224	0	1 1 0 0 0 0 0 0 0 1 0	153120	0.711
0	0	0	1 1 1 1 1 1 0 0 0 1 0	5865	1.235
0	0	0	0 1 1 1 1 1 0 1 0 0 0	3634	0.577
1	-0.48269	0	1 1 1 1 1 1 0 0 0 1 0	23506	1.103
0	0	0	1 1 1 0 0 0 0 1 0 1 0	218004	0.904
0	0	0	1 0 0 1 1 1 1 0 0 0 0	4355	1.031
0	0	0	1 0 1 0 1 1 0 0 0 1 0	2508	0.768
0	0	0	1 1 1 1 1 1 0 0 0 1 0	10270	0.605
1	-0.92144	0	1 0 1 1 1 1 0 0 0 1 0	3570	0.725
0	0	0	1 0 0 0 1 1 1 1 0 0 0	2928	0.783
1	-0.92376	0	1 0 0 1 1 1 1 1 0 1 0	4257	2.333
0	0	0	0 0 0 1 0 1 0 0 0 1 0	4275	1.321
0	0	0	1 0 0 1 1 1 1 0 0 1 0	3403	0.488
1	-0.97004	0	1 0 1 1 1 1 0 0 0 1 0	6004	1.040
1	-0.064253	0	1 0 0 1 1 1 0 0 0 1 0	6150	0.914
0	0	0	1 0 1 1 1 0 0 1 0 0 0	5671	0.491
1	-0.71934	0	1 1 1 1 1 1 0 0 0 1 0	28860	1.187
1	-0.38948	1	1 1 1 1 1 1 0 0 0 1 0	29785	1.150
0	0	2	1 1 1 0 1 1 0 0 0 1 0	8284	1.440
0	0	0	1 1 1 1 1 1 0 0 0 1 0	13806	1.009
1	-0.56206	1	1 1 1 1 1 1 0 0 0 1 0	15660	1.165
1	-0.37517	0	1 0 0 1 1 1 0 0 0 1 0	14916	0.855
1	-0.14881	0	0 1 1 0 0 0 0 0 0 1 0	132235	1.886
1	-0.13884	1	1 1 1 0 1 1 0 0 0 1 0	95190	0.853
0	0	1	0 0 0 1 1 1 0 0 1 1 0	20072	1.864
1	-0.59608	0	1 1 1 1 1 1 0 0 1 1 1	26732	0.994
1	-0.33775	0	0 1 1 1 1 1 0 0 0 1 0	6460	0.893
0	0	0	1 1 1 1 1 1 0 0 0 1 0	7275	1.297
0	0	0	1 1 1 1 0 0 0 1 0 0 0	3939	0.380
0	0	0	1 1 1 1 0 1 0 1 0 0 0	3924	0.324
1	-0.46281	0	0 1 1 0 0 0 0 0 0 1 0	113652	1.793
1	-0.80199	0	1 1 1 1 0 1 0 1 0 1 0	70200	0.569
0	0	0	1 0 0 1 0 0 0 0 0 1 0	52500	0.372
1	-0.56677	0	0 0 1 1 1 1 0 0 0 1 1	63048	1.392
0	0	0	1 1 1 0 0 1 0 0 0 1 1	26069	1.523
0	0	1	1 1 1 0 1 1 0 0 1 0 1	18868	0.417
0	0	0	1 0 1 0 0 0 0 0 1 0 1	6695	0.627
0	0	1	1 1 1 0 1 0 0 0 0 1 1	31977	1.368
0	0	1	1 0 0 0 1 1 0 0 0 1 1	17472	1.621
0	0	0	1 0 0 1 0 1 0 1 0 1 1	128428	1.173
1	-0.85075	0	1 1 1 0 1 1 0 0 0 1 0	6816	1.357
1	-0.87349	0	1 0 1 0 1 1 0 0 0 1 0	5184	1.270
1	-0.74706	0	1 1 1 1 1 1 0 1 0 1 0	3465	1.148
0	0	0	1 1 1 1 1 1 0 0 0 1 0	12730	1.415
1	-0.59911	0	1 0 1 1 1 1 0 0 0 1 0	11250	1.393
0	0	0	1 1 1 1 1 1 0 0 0 1 0	1880	1.179
1	-0.22185	0	1 1 1 0 0 0 0 0 0 1 0	163986	0.799
1	0.21593	0	1 0 1 0 1 1 0 0 0 1 0	57024	1.223
1	-0.85676	0	1 0 0 0 1 1 0 0 0 1 0	5616	1.085
0	0	0	1 0 0 1 1 1 0 0 0 1 0	2021	0.913
0	0	0	1 0 1 1 0 0 0 1 0 0 0	1196	0.556
0	0	0	1 1 1 1 1 1 0 0 0 1 0	2850	1.143
0	0	0	1 0 1 1 1 1 0 0 0 1 0	3477	0.933
0	0	2	1 1 1 0 0 1 0 0 0 1 0	1140	1.276
0	0	0	1 1 1 1 1 1 0 0 0 1 0	3876	1.196
1	-0.9252	0	1 1 1 1 1 1 0 0 0 1 0	3965	0.938
0	0	3	1 1 1 1 0 1 0 0 0 1 0	2736	1.191
0	0	1	1 1 1 1 0 1 0 0 0 1 0	1755	1.158
0	0	1	1 1 1 0 1 1 0 0 0 1 0	7198	0.479
1	0.052115	0	1 1 1 0 0 1 0 0 1 1 1	77381	1.559
1	-0.17926	0	1 1 1 1 1 1 1 0 0 1 0	46806	1.549
1	-0.22172	1	1 0 0 1 1 1 0 0 1 1 0	2950	0.845
0	0	0	1 0 1 0 1 1 0 0 1 1 0	1404	0.921
1	-0.3068	0	1 1 1 1 1 1 0 0 0 1 0	48564	0.601
1	-0.68884	0	0 1 1 1 1 1 0 0 0 1 0	139722	1.374
1	0.34491	0	1 1 1 1 0 1 0 0 0 1 0	106299	0.732
1	0.10087	0	1 1 1 1 1 1 0 0 0 1 1	104951	1.031
0	0	0	1 1 1 1 1 1 0 0 0 1 0	3036	1.581
0	0	0	1 1 1 1 1 1 0 0 0 1 0	2430	1.205
0	0	1	1 1 1 0 0 1 0 0 0 1 0	1394	1.212
0	0	0	1 1 1 1 1 1 0 0 1 1 0	1680	1.051
0	0	0	1 0 0 0 1 1 0 0 0 1 0	588	1.350
0	0	0	1 0 0 1 1 1 0 0 1 1 0	1998	0.679
0	0	0	1 0 0 1 1 0 0 1 0 1 0	588	0.741
1	-0.45922	0	1 1 1 1 1 1 0 1 0 1 0	26208	0.604
1	-0.65142	0	1 1 1 1 1 1 1 1 0 1 0	114172	1.340
1	-0.1632	1	1 1 0 0 1 1 1 0 0 1 0	25092	0.933
0	0	3	1 1 1 1 1 0 0 0 0 1 0	25212	1.450
0	0	1	1 1 1 1 1 0 1 0 0 1 0	30430	1.053
0	0	3	1 1 1 0 0 0 0 0 0 1 0	4582	0.731
1	-0.29825	0	1 1 1 1 1 1 0 0 0 1 0	30429	0.851
1	-0.39254	0	1 1 1 1 0 0 0 1 0 0 0	33740	0.579
1	-0.34978	0	1 1 1 1 1 1 0 0 0 1 0	54560	0.887
0	0	1	1 1 1 0 1 1 0 0 0 1 0	12236	2.133
0	0	0	1 1 1 1 1 1 0 0 0 1 0	6798	1.569
0	0	1	1 1 1 0 1 1 0 0 0 1 0	14718	3.415
0	0	0	1 0 1 1 1 1 0 0 0 1 0	9492	1.349
0	0	0	1 0 0 1 1 1 0 0 0 1 0	9856	1.276
1	-0.29568	1	1 1 1 0 1 1 0 0 0 1 1	53340	0.826
1	0.18969	0	1 1 1 1 1 1 0 0 0 1 0	18029	0.811
1	-0.16057	0	0 1 1 0 0 0 0 0 0 1 0	103972	0.743
1	-0.21446	0	1 1 1 1 0 1 1 1 0 0 0	42624	0.512
0	0	0	1 1 1 1 1 1 0 0 0 1 0	56927	2.507
0	0	0	1 1 1 0 0 1 0 1 0 0 0	134152	1.248
0	0	2	1 1 1 0 0 1 0 0 0 1 0	35778	4.557
1	-0.24421	0	1 1 1 1 1 1 0 0 0 1 0	53465	1.565
1	0.3038	0	1 1 1 1 0 1 1 1 0 0 0	81474	0.604
1	-0.9053	0	1 0 0 1 1 1 0 0 1 1 0	3248	1.036
0	0	0	1 0 0 1 1 1 0 0 1 1 0	3256	0.589
1	-0.22946	0	0 1 1 0 0 0 0 0 0 1 0	162628	1.169
1	-0.24908	0	1 1 1 1 1 1 0 0 0 1 1	139240	1.602
1	-0.76425	0	1 1 1 1 1 1 0 0 0 1 0	8200	0.818
0	0	0	1 0 1 1 1 1 0 0 0 1 0	5880	1.203
0	0	1	1 0 0 1 1 1 0 0 0 1 0	1496	1.303
0	0	1	1 0 0 1 1 1 0 0 0 1 0	2162	0.978
0	0	0	1 0 0 1 1 1 0 0 1 1 1	12354	0.610
1	0.81897	0	1 1 1 1 0 1 0 1 0 1 0	41710	1.109
0	0	0	1 0 0 0 0 1 0 0 1 1 0	486	1.529
1	-0.72331	0	1 1 1 1 1 0 0 0 0 1 0	41382	1.418
1	-0.72528	0	0 1 1 0 0 0 0 0 0 1 0	195714	1.268
0	0	0	1 1 1 1 1 1 0 0 0 1 0	11330	0.936
1	-0.73578	1	1 1 1 0 1 0 1 0 0 1 0	3010	0.400
1	-0.10444	0	1 1 1 1 1 1 0 1 0 1 0	25456	1.163
1	-0.24424	0	1 1 1 1 1 1 0 0 0 1 0	2538	1.152
0	0	1	1 1 1 0 0 0 0 1 0 1 0	110826	1.395
1	-0.2709	0	1 1 1 0 0 0 0 0 0 1 0	83700	1.149
1	-0.22493	0	1 1 1 1 1 1 1 0 0 1 0	89110	1.260
1	-0.070581	0	1 1 1 0 1 1 0 1 0 1 0	3510	1.208
1	0.26034	0	1 1 1 1 1 1 0 1 0 1 0	35200	0.726
1	-0.2439	0	1 1 1 0 1 0 0 1 0 1 0	137058	1.356
1	-0.37275	0	1 0 1 1 1 1 0 0 1 1 1	122846	0.537
1	-0.18402	1	1 1 1 0 1 1 1 1 0 1 0	91936	0.469
1	-0.5933	0	1 1 1 0 0 1 0 0 0 1 0	133534	0.960
1	-0.50852	0	1 1 1 1 1 1 0 0 0 1 1	52640	1.492
0	0	1	1 1 1 1 1 0 0 1 0 0 0	54889	0.311
0	0	0	1 1 1 1 0 0 0 1 0 1 0	140360	0.724
0	0	2	1 1 1 0 0 0 0 1 0 1 0	42420	0.962
0	0	0	1 1 1 0 1 1 1 1 0 1 0	6138	0.707
1	-0.80031	0	1 1 1 1 1 1 0 0 1 0 0	7056	0.732
0	0	0	1 1 1 0 1 1 0 0 0 1 0	7056	0.732
0	0	0	1 0 0 0 1 1 0 0 0 1 0	7298	0.920
1	-0.29161	0	1 1 1 0 1 1 0 0 0 1 0	27674	2.730
0	0	0	1 0 0 0 0 1 0 1 0 0 0	2052	1.432
0	0	0	1 1 1 0 0 0 0 1 0 1 0	122598	0.630
1	-0.43861	0	1 1 1 1 1 1 0 0 0 1 0	8910	1.101
1	0.18773	1	1 1 1 1 0 0 0 1 0 1 0	89760	0.824
0	0	0	1 0 0 0 1 1 0 0 1 0 0	1363	0.609
1	-0.099809	1	1 1 1 0 1 1 0 0 0 1 0	84250	1.349
1	-0.21737	0	1 1 1 1 1 1 0 0 0 1 0	81592	1.328
1	0.47933	1	1 1 1 1 1 1 1 1 0 1 0	129402	1.739
1	-0.58101	1	1 1 1 1 1 0 0 1 0 1 0	12084	0.475
1	-0.25223	0	1 1 1 1 1 0 0 1 0 0 0	12166	0.484
1	0.149	0	1 1 1 1 1 1 0 1 0 1 0	99981	0.427
1	-0.082693	0	1 0 0 1 1 1 0 0 0 1 1	10650	2.129
1	0.0061389	0	1 1 1 1 1 1 0 0 0 1 0	30856	1.750
1	0.10816	0	1 1 1 1 1 1 0 0 0 1 0	74942	0.543
0	0	1	1 1 0 1 1 0 0 1 0 0 0	9633	0.333
0	0	2	1 1 1 1 1 0 0 1 0 0 0	7849	0.277
0	0	0	1 1 1 1 1 1 0 1 0 1 0	12784	0.358
1	-0.022561	0	1 1 1 0 1 1 0 0 0 1 0	12312	1.888
0	0	0	1 0 1 0 1 1 0 0 1 1 0	5084	0.753
0	0	0	1 1 1 0 0 0 0 0 0 1 0	784	0.313
1	-0.45631	0	1 0 1 0 1 1 0 0 0 1 0	3575	0.844
1	-0.73009	0	1 0 0 0 1 1 0 0 1 1 0	3816	0.732
0	0	0	1 0 0 0 1 1 0 0 0 1 0	425	1.500
0	0	0	1 0 0 0 1 1 0 0 1 0 0	48140	3.600
0	0	0	1 0 0 0 1 1 0 0 0 1 0	3081	2.053
0	0	0	1 1 1 0 1 1 1 0 0 0 0	137860	1.484
0	0	1	1 1 1 1 1 1 0 1 0 1 0	46540	0.687
1	0.25721	1	1 0 1 0 1 1 0 0 1 1 0	72105	1.127
1	-0.47164	0	1 0 1 1 1 1 0 0 0 1 0	2655	1.318
1	-0.64602	1	1 1 1 0 1 1 0 1 0 1 0	34648	0.580
0	0	0	1 0 0 1 1 1 0 0 0 1 0	7885	0.872
0	0	1	1 1 1 1 0 1 0 0 0 1 0	12180	0.904
0	0	0	0 0 0 0 1 1 0 0 1 1 1	36300	1.335
0	0	1	1 1 1 0 0 1 0 0 0 1 1	15840	1.312
0	0	2	1 1 1 1 1 0 0 1 0 1 0	5778	0.500
0	0	2	1 1 1 0 0 1 0 0 0 1 0	14080	1.165
0	0	2	1 0 0 1 0 1 0 0 1 0 0	25056	0.535
0	0	0	1 1 1 0 0 0 0 1 0 0 0	114654	0.738
1	-0.76066	1	1 1 1 1 1 1 0 0 0 1 0	17160	0.703
0	0	1	1 0 0 1 1 1 0 1 0 0 0	8162	0.340
1	-0.52526	1	1 1 1 1 0 1 0 0 0 1 0	7004	1.522
0	0	0	1 1 1 0 0 1 0 0 0 1 0	1800	1.128
0	0	0	1 1 1 0 1 1 0 0 0 1 0	8300	1.207
0	0	2	1 0 1 1 1 0 0 0 0 1 0	12236	2.133
0	0	0	1 1 1 0 0 0 0 1 0 0 0	67053	0.701
0	0	1	1 1 1 0 0 0 0 1 0 1 0	60984	0.875
1	-0.70264	0	1 1 1 1 1 1 0 0 0 1 0	23275	0.759
1	-0.88096	0	1 0 1 0 1 1 0 0 0 1 0	6622	1.118
1	0.053913	1	1 1 1 0 1 1 0 1 0 1 0	42136	0.803
0	0	0	0 1 1 1 1 1 0 0 1 1 1	33020	2.056
1	-0.15044	0	1 0 0 1 1 1 0 0 0 1 0	38640	1.142
1	-0.20086	0	1 1 1 0 0 1 0 0 0 1 1	25086	1.973
0	0	2	1 1 1 0 0 1 0 0 0 1 1	4977	0.795
0	0	0	1 0 0 1 1 1 0 0 0 1 0	720	1.261
0	0	0	1 1 1 0 1 1 0 0 0 1 1	11324	1.973
0	0	0	1 0 0 0 1 1 0 0 1 0 0	35392	0.352
0	0	0	1 1 1 1 1 1 0 0 0 1 0	19437	0.442
1	-0.4882	1	1 1 1 0 0 1 0 0 0 1 0	144175	1.082
1	-0.2555	0	1 1 1 1 1 1 0 0 0 1 0	40404	1.665
0	0	0	1 1 0 0 1 1 0 0 1 0 0	68975	0.347
0	0	0	1 0 0 0 1 1 0 0 1 0 0	55144	0.268
1	-0.13343	0	1 1 1 1 1 1 0 0 0 1 0	18150	1.505
1	-0.06553	1	1 1 1 1 1 1 1 1 0 1 0	26752	0.863
1	-0.93152	0	1 1 1 1 1 1 0 1 0 1 0	116137	0.932
0	0	0	1 1 1 1 1 1 0 0 0 1 0	22066	1.590
1	-0.085219	0	1 1 1 1 1 1 0 0 0 1 0	21063	1.492
1	0.68867	0	1 1 1 1 1 1 0 0 1 1 0	15276	0.850
0	0	1	1 1 1 0 1 0 0 1 0 0 0	40592	0.341
0	0	1	1 1 1 0 1 0 0 1 0 1 0	43160	0.637
1	-0.04836	0	1 1 1 1 1 1 0 0 0 1 1	88631	0.780
1	-0.59297	2	1 1 1 0 0 1 0 0 0 1 0	36784	1.596
1	-0.5871	1	1 1 1 0 0 1 0 1 0 1 0	80065	0.713
0	0	0	1 0 0 0 1 1 0 0 1 0 0	220	0.526
0	0	0	1 0 0 0 1 0 0 0 1 0 0	253	0.455
1	-0.23844	1	1 1 1 0 1 1 0 0 0 1 0	51968	0.792
1	-0.62552	0	1 1 1 1 1 1 0 0 1 1 1	42267	0.881
1	0.29025	0	1 1 1 1 1 0 0 1 0 1 0	13950	0.578
0	0	0	1 1 1 1 0 1 0 1 0 0 0	10830	0.832
0	0	0	1 1 1 1 1 1 0 0 0 1 0	85090	0.757
0	0	0	1 1 1 1 1 1 0 0 0 1 0	13200	1.713
0	0	0	1 1 1 1 1 1 0 0 0 1 0	118080	0.867
1	-0.30619	1	1 1 1 1 1 1 0 0 0 1 0	17255	1.220
1	-0.5903	0	1 0 0 1 1 1 0 0 1 0 0	4700	0.527
0	0	0	1 1 1 1 0 0 0 0 0 1 0	4371	0.500
0	0	1	1 1 1 1 1 1 0 1 0 0 0	27260	0.491
