det	conf	occ	p1 p2 p3 p4 p5 v1 v2 v3 v4 v5 size	ratio(w/h)
1	-0.45103	1	1 1 1 1 1 1 0 0 1 0	52890	0.794
1	-0.22402	0	1 1 1 0 0 0 1 0 0 0	150696	0.645
0	0	0	1 1 1 1 1 0 1 0 1 0	17363	1.854
1	-0.051734	1	1 1 1 1 1 0 1 0 1 0	97890	1.556
1	-0.2463	1	1 1 1 1 0 0 0 0 1 0	110416	1.539
0	0	2	1 1 1 1 0 0 1 0 1 0	23157	2.696
1	-0.31501	2	0 1 1 1 0 0 1 0 0 0	83050	0.910
1	-0.59463	2	1 1 1 0 0 0 0 0 1 0	51359	0.802
0	0	0	1 1 1 1 1 0 0 0 1 0	4851	1.226
0	0	0	1 1 1 1 0 1 0 0 0 0	15561	3.968
1	-0.58029	3	0 1 1 0 0 0 0 0 1 0	48138	0.942
1	-0.24622	0	1 1 0 0 1 0 0 0 1 0	58928	1.095
0	0	1	1 0 1 0 0 0 1 0 0 0	130526	0.933
0	0	2	1 1 1 1 0 1 1 0 0 0	56619	0.959
1	-0.25913	0	1 1 0 0 0 0 0 0 0 1	59620	1.233
1	-0.66943	0	1 1 1 1 0 0 0 0 1 0	29694	1.377
1	0.019355	0	1 1 1 0 0 0 1 0 0 0	174284	1.247
0	0	1	1 1 1 1 0 0 0 0 1 0	25120	1.019
1	-0.27583	0	1 0 1 1 0 0 1 0 0 0	179417	1.378
1	-0.070639	0	1 1 1 1 1 0 0 0 1 0	106500	1.184
1	-0.49697	1	1 1 0 1 1 0 0 0 1 0	151700	1.108
0	0	0	1 1 1 1 0 1 0 0 0 0	161505	1.458
0	0	1	1 1 1 1 0 0 1 0 1 0	60060	1.126
1	-0.092754	0	1 1 1 1 0 0 0 0 1 0	114562	1.027
1	-0.7279	0	1 1 1 1 0 0 1 0 0 0	22984	0.804
1	-0.51184	0	1 1 1 1 1 0 0 0 1 1	24780	0.790
1	-0.66887	0	1 1 0 0 1 0 0 0 1 1	25702	1.277
1	-0.51436	0	1 1 0 0 1 0 0 0 1 1	30338	1.281
1	-0.084956	0	1 1 1 0 0 0 1 0 1 0	139772	0.788
0	0	0	1 1 1 1 1 0 1 0 0 0	151065	0.921
1	-0.28484	0	0 1 1 0 0 0 0 0 1 0	151032	1.092
0	0	1	1 1 1 0 0 0 1 0 0 0	33327	1.288
0	0	0	1 1 1 1 1 0 1 0 0 0	7590	0.394
1	-0.0066674	0	1 1 1 0 0 0 1 0 0 0	159390	0.683
1	-0.39112	0	1 1 1 1 1 0 1 0 1 0	57491	1.579
1	-0.30292	0	1 1 0 1 1 0 1 0 1 0	74496	1.984
1	-0.65898	0	1 1 1 1 1 0 1 0 1 0	39600	0.686
1	-0.74106	0	0 1 1 0 0 0 1 0 1 0	66040	0.977
1	-0.39923	0	1 1 1 0 0 0 1 0 0 0	6240	0.674
0	0	2	1 1 0 1 0 0 0 0 1 0	22344	1.726
0	0	0	1 1 0 0 1 1 0 0 0 0	13959	0.700
0	0	0	1 1 1 1 1 0 0 0 1 0	53901	2.139
0	0	0	1 1 0 1 1 0 0 0 1 1	24111	0.824
1	0.026152	0	1 1 1 0 0 0 1 0 0 0	112908	1.334
0	0	0	1 1 1 1 1 0 0 0 1 0	41040	1.406
0	0	0	1 1 1 0 1 0 1 0 1 0	117306	1.660
1	-0.1372	0	1 1 1 1 1 0 1 0 1 0	51025	2.077
1	-0.3535	0	1 1 0 1 1 0 1 0 1 0	46812	1.703
0	0	2	1 0 1 0 0 0 0 0 1 0	18000	1.153
1	0.3437	0	1 1 1 1 1 0 0 0 1 0	117468	1.868
1	0.092219	0	1 1 1 1 1 0 0 0 1 0	94176	1.986
1	-0.40158	0	1 1 1 1 1 0 0 0 1 0	27209	0.952
1	-0.74818	0	1 1 1 1 1 0 0 0 1 0	50140	1.055
0	0	0	1 1 1 1 1 0 0 0 1 0	49949	1.263
1	0.4517	0	1 1 1 0 0 0 0 0 1 1	118428	1.470
1	-0.11495	2	1 1 1 0 0 0 1 0 0 0	101083	1.378
1	-0.49086	0	1 1 1 1 0 1 0 0 1 0	116186	1.283
0	0	0	1 1 1 1 1 0 0 0 1 0	3168	2.486
1	-0.10579	0	1 1 1 0 1 0 0 0 1 0	49440	1.166
1	-0.29522	0	1 1 1 1 0 0 1 0 0 0	56540	0.855
1	-0.53673	0	1 1 0 1 1 0 0 0 0 1	97887	2.430
1	-0.78095	0	1 1 1 1 0 0 1 0 0 0	113040	0.509
1	-0.66409	0	1 1 1 1 0 1 1 0 0 0	90522	0.878
0	0	1	1 1 1 1 1 0 0 0 1 0	94392	0.550
1	0.27806	0	1 1 1 0 0 0 0 0 1 0	102408	1.628
1	-0.27364	0	1 1 1 0 0 0 1 0 1 0	129090	1.179
1	-0.50706	0	1 1 1 1 0 0 1 0 0 0	44662	0.418
