det	conf	occ	p1 p2 p3 p4 v1 v2 v3 v4 v5 size	ratio(w/h)
0	0	2	1 1 1 0 0 1 0 1 0	3450	1.388
1	-1.0474	2	1 1 0 1 0 0 0 1 1	18928	0.661
1	-0.96468	2	1 1 0 1 0 0 0 1 1	18480	0.677
1	-0.41854	1	1 1 1 1 0 1 0 0 1	40482	0.738
1	-0.26027	0	1 1 0 1 0 1 0 1 1	4160	0.646
1	0.25197	1	1 1 0 1 0 0 0 1 1	5768	0.539
0	0	0	1 1 0 1 0 0 0 1 1	5356	0.500
1	-0.24713	0	1 1 0 1 0 0 1 0 1	6720	0.532
1	-0.91801	1	1 1 1 1 0 0 0 1 0	32956	0.718
1	-0.6712	0	1 0 1 1 0 0 1 1 0	24336	1.000
0	0	0	0 0 1 1 0 1 0 1 0	5310	0.376
0	0	1	1 1 1 0 0 1 0 0 0	85144	1.584
1	0.62179	1	1 1 0 1 0 0 1 1 0	6767	0.660
0	0	0	1 1 1 1 0 1 0 1 1	10764	0.439
1	0.1579	0	1 1 1 1 0 1 0 1 1	13248	0.693
1	0.55772	0	1 1 1 1 0 1 0 1 1	8736	0.694
0	0	1	1 1 1 1 0 1 0 0 0	3312	0.634
1	-0.8999	1	1 1 0 0 0 0 1 1 1	12221	0.833
0	0	2	1 1 0 1 0 0 1 1 1	8880	0.718
1	-0.69548	1	1 1 0 0 0 0 1 1 1	9680	0.798
0	0	3	1 1 0 0 0 1 0 1 0	2254	0.938
0	0	2	1 1 0 0 0 1 0 1 0	1872	1.237
1	-0.68401	1	1 1 0 1 0 0 0 1 0	15246	0.960
1	-0.64	0	1 0 0 0 0 0 1 0 0	20979	1.709
0	0	1	1 0 0 1 0 1 0 1 0	9198	0.428
0	0	0	1 1 1 1 0 1 0 0 1	39010	0.705
1	-0.34964	0	1 1 0 1 0 1 0 0 0	23718	0.756
1	-0.2426	1	1 1 1 1 0 1 0 0 1	10092	0.748
0	0	2	1 1 0 1 0 1 0 1 0	1988	0.386
0	0	1	1 1 0 1 0 0 1 1 0	3744	0.718
1	-0.89424	1	1 1 1 0 0 1 0 1 1	52875	1.045
0	0	1	1 1 0 1 0 0 0 1 1	22700	0.438
1	0.046635	0	1 1 0 1 0 0 0 1 1	29380	0.573
1	-0.94808	1	1 0 1 0 0 1 0 1 0	15836	0.721
0	0	2	1 0 1 0 0 0 0 1 0	13653	1.109
1	-0.14215	0	1 1 0 1 0 1 0 1 1	22912	0.713
1	-0.015519	1	1 1 1 0 0 1 0 0 1	19200	0.852
0	0	1	1 0 0 1 0 0 1 1 0	3526	0.519
0	0	0	1 1 1 0 0 1 0 0 1	18060	1.086
1	-1.1211	0	1 1 1 0 0 1 0 0 1	18352	1.195
1	-0.447	0	1 0 0 1 0 0 1 0 0	11753	0.450
1	-0.52089	1	1 1 0 1 0 0 0 1 0	3432	0.558
0	0	2	1 1 0 1 0 0 0 1 0	11136	0.677
1	0.33122	0	1 1 0 1 0 0 1 1 1	12285	0.897
0	0	0	1 1 0 0 0 0 1 1 0	9765	0.885
1	-0.022662	0	1 1 0 0 0 0 1 1 0	12650	1.046
0	0	0	1 1 1 0 0 0 0 1 1	3840	0.595
0	0	1	1 1 0 1 0 0 1 0 1	2754	1.060
0	0	1	1 1 0 0 0 0 1 1 1	2744	1.146
0	0	2	1 1 1 0 0 0 0 1 1	2684	0.717
