det	conf	occ	p1 p2 v1 v2 size	ratio(w/h)
1	-0.97123	1	1 1 1 1	36072	1.295
1	-0.59101	2	1 1 1 1	17700	1.778
0	0	2	1 1 1 1	6188	5.485
1	-0.89588	2	0 1 0 1	43472	2.134
1	-0.79971	1	0 1 1 1	41550	1.852
1	-0.75341	1	1 1 1 1	35778	2.000
0	0	3	0 1 0 1	57088	1.149
0	0	2	1 1 1 1	8701	1.474
1	-0.85212	2	0 1 0 1	143500	1.745
0	0	0	1 1 1 1	58844	0.599
1	-0.75924	2	0 1 0 1	48258	3.056
1	-0.62519	2	1 1 1 1	23112	1.991
0	0	1	0 1 0 1	7979	1.282
0	0	1	0 1 0 1	4000	1.612
0	0	1	0 1 0 1	8526	0.277
0	0	1	0 1 1 1	1750	1.441
1	-0.74998	1	1 1 1 1	71610	1.627
0	0	2	0 1 0 1	57120	2.239
1	-0.91521	2	0 1 0 1	142590	1.686
1	-0.8374	2	0 1 0 1	71269	1.635
1	-0.9028	2	0 1 0 1	128960	1.911
1	-0.74389	1	1 1 1 1	128892	1.695
1	-1.0423	1	0 1 0 1	92256	2.676
0	0	1	0 1 0 1	44405	3.906
1	-0.88512	2	1 1 1 1	49610	1.181
1	-1.0114	2	0 1 0 1	52438	2.135
0	0	2	1 1 1 1	15022	2.767
1	-0.84544	2	1 1 1 1	51816	1.246
1	-0.70133	1	1 1 1 1	27004	1.096
1	-0.75965	1	1 1 1 1	104976	2.256
1	-0.88781	3	0 1 0 1	70892	3.252
1	-0.97978	3	0 1 0 1	140958	0.966
1	-0.81108	1	0 1 0 1	120786	2.000
0	0	0	0 1 0 1	23217	4.657
1	-0.80976	1	0 1 0 1	141732	0.976
0	0	1	0 1 1 1	15447	4.821
1	-0.94711	2	1 1 1 1	56760	2.091
1	-1.0769	2	0 1 0 1	163183	1.491
1	-0.96749	2	0 1 0 1	83054	0.826
1	-0.88768	2	1 1 0 1	83839	2.040
0	0	0	1 1 1 1	10008	0.514
1	-0.60817	1	1 1 1 1	76050	1.504
0	0	2	0 1 0 1	77745	1.624
1	-0.79739	2	1 1 1 1	70411	2.360
1	-1.0329	2	0 1 0 1	178143	1.399
1	-0.91477	1	0 1 0 1	77376	3.194
1	-0.78768	3	0 1 1 1	60060	1.126
1	-0.74761	1	1 1 1 1	40600	1.938
1	-0.60593	1	1 1 1 1	77520	2.153
1	-0.96142	1	0 1 1 1	20844	1.794
1	-1.0744	2	0 1 1 1	12078	2.800
1	-0.93405	2	0 1 0 1	134862	1.813
0	0	1	1 1 1 1	6962	2.017
1	-0.81636	2	1 1 1 1	94965	2.505
1	-0.89759	2	0 1 0 1	37278	2.885
1	-1.0435	1	0 1 1 1	37204	2.177
0	0	1	0 1 1 1	7548	2.940
1	-0.83319	1	1 1 1 1	56235	2.123
0	0	1	1 1 1 1	25938	1.515
0	0	1	1 1 1 1	7875	2.000
1	-0.98614	1	0 1 0 1	120780	2.033
1	-0.86831	3	0 1 0 1	126731	1.607
1	-0.96271	0	1 1 1 1	21500	1.379
1	-0.95246	0	1 1 1 0	12726	0.800
1	-0.75544	1	0 1 0 1	50566	2.962
0	0	2	1 1 1 1	16416	1.411
1	-0.77408	2	1 1 1 1	53457	1.791
1	-0.91203	3	0 1 0 1	59740	2.854
1	-0.4689	0	1 1 1 1	49686	1.503
1	-0.82993	1	0 1 0 1	94050	1.245
1	-0.84666	2	1 1 1 1	64256	0.980
1	-0.69771	2	1 1 1 0	34196	3.245
1	-0.96868	2	0 1 1 1	53200	1.476
1	-0.49624	1	1 1 1 1	72080	1.607
1	-0.99959	2	0 1 0 1	124832	0.883
0	0	1	1 1 1 1	45864	1.195
1	-0.82127	3	0 1 0 1	46170	2.545
1	-0.85788	2	0 1 1 1	61950	1.983
1	-0.60998	1	1 1 1 1	44200	1.106
1	-0.88093	2	0 1 0 1	127958	1.707
1	-0.98241	3	0 1 0 1	136136	1.028
1	-0.83278	1	0 1 0 1	133500	1.876
1	-0.92018	2	0 1 0 1	99591	1.398
0	0	1	0 1 0 1	152516	1.152
1	-0.81111	1	1 0 1 0	33142	1.559
1	-0.79387	1	0 1 1 1	34443	2.078
0	0	1	0 1 1 1	10290	2.116
0	0	1	0 1 1 1	23980	2.028
0	0	1	0 1 0 1	51792	2.135
1	-0.99525	1	0 1 1 1	115038	2.161
1	-0.96553	2	0 1 0 1	166500	1.503
0	0	2	0 1 0 1	32250	1.945
0	0	1	1 1 1 1	8664	1.507
0	0	1	0 1 0 1	65369	3.831
0	0	1	0 1 0 1	151302	1.357
0	0	1	1 1 1 1	10788	3.246
0	0	1	0 1 1 1	4386	3.879
1	-0.9297	3	0 1 0 1	35723	1.855
1	-0.93006	2	1 1 1 1	81940	1.413
1	-0.97773	3	0 1 0 1	51156	2.377
1	-0.87772	2	0 1 0 1	76405	0.878
1	-0.97412	3	0 1 0 1	103792	2.406
0	0	2	0 1 0 1	42971	4.604
1	-0.79753	2	1 1 1 1	86680	2.240
0	0	1	1 1 1 0	21980	0.891
1	-0.87438	2	0 1 0 1	62205	1.639
1	-0.81639	2	1 1 1 1	67925	1.558
0	0	1	0 1 0 1	72500	3.465
1	-0.80147	2	1 1 1 1	116312	1.895
0	0	2	0 1 1 1	32663	4.159
1	-0.93548	2	0 1 1 1	48576	1.571
1	-1.0688	2	0 1 1 1	95432	1.047
1	-0.92813	1	0 1 0 1	66893	2.947
1	-0.99685	1	0 1 0 1	120848	0.912
1	-0.74322	1	1 1 1 1	74108	2.037
1	-0.84451	2	0 1 1 1	69915	2.239
1	-1.0455	3	0 1 0 1	165000	1.517
1	-0.90755	1	1 1 1 1	53550	1.858
0	0	2	1 1 1 1	34362	1.810
0	0	2	0 1 0 1	172326	0.807
1	-1.0835	2	0 1 0 1	149296	1.650
0	0	0	1 1 1 0	58968	0.928
1	-1.0339	2	0 1 0 1	168000	0.837
0	0	2	1 1 1 1	7220	1.253
0	0	1	1 1 1 1	43806	1.980
1	-0.83221	2	1 1 1 1	112050	2.219
0	0	0	1 1 1 1	25551	1.092
1	-0.69348	2	1 1 1 1	18966	1.602
1	-0.86398	1	1 1 1 1	23940	1.512
0	0	3	0 1 1 1	12675	3.031
1	-0.96078	2	1 1 1 1	89102	1.003
1	-1.0491	1	0 1 0 1	169000	1.481
1	-0.92207	3	0 1 0 1	101559	1.200
1	-0.70829	1	1 1 1 1	20608	1.649
0	0	1	1 1 1 1	7905	1.095
1	-1.0995	1	0 1 1 1	8625	1.541
1	-1.1044	1	0 1 1 1	7049	2.538
0	0	2	1 1 1 1	4380	0.819
1	-0.86183	2	0 1 0 1	104647	2.035
1	-0.84865	2	0 1 0 1	91154	1.612
1	-1.0685	1	0 1 1 1	145000	1.727
1	-0.92574	2	0 1 1 1	53088	1.886
1	-0.81593	1	1 1 1 1	20700	1.570
0	0	1	0 1 1 1	20383	0.581
0	0	0	1 1 1 1	21222	1.238
0	0	2	0 1 1 1	49997	1.674
1	-1.0612	2	0 1 0 1	180306	1.311
0	0	1	1 1 1 0	3819	0.848
1	-1.0161	2	0 1 0 1	51474	2.715
1	-0.81018	2	1 1 1 1	34182	1.304
0	0	1	0 1 1 1	80275	2.821
0	0	0	1 1 1 1	15840	1.622
0	0	1	1 1 1 1	36894	1.810
1	-1.0028	2	0 1 0 1	142000	1.763
1	-0.95454	2	0 1 1 1	59444	2.516
1	-0.82481	1	1 1 1 1	44274	2.236
1	-0.73545	1	1 1 1 1	36273	3.189
1	-0.75319	2	0 1 0 1	153692	1.622
1	-0.92173	1	0 1 0 1	116584	2.098
0	0	0	1 1 1 0	11102	0.744
1	-0.7787	2	1 1 1 1	31800	1.416
1	-0.81832	1	1 1 1 1	11433	1.078
1	-0.75034	1	0 1 1 1	28449	2.407
1	-1.0365	2	0 1 0 1	30959	4.537
1	-0.84001	1	0 1 1 1	36828	2.407
0	0	2	0 1 1 1	27068	2.670
1	-0.98094	2	0 1 1 1	77520	1.193
0	0	1	1 1 1 0	32747	1.606
1	-0.72317	2	1 1 1 1	42935	1.792
1	-0.78863	1	1 1 1 1	23166	1.134
1	-0.92992	1	0 1 0 1	83990	1.633
1	-0.95224	2	0 1 1 1	148840	1.602
1	-1.1184	1	0 1 1 1	37248	2.283
1	-0.79514	2	0 1 1 1	69764	2.636
1	-0.83195	2	0 1 1 1	94354	1.549
1	-0.90708	2	1 1 1 1	154567	1.600
1	-0.75485	1	1 1 1 1	19418	1.098
0	0	1	1 1 1 0	36464	1.234
1	-0.88242	1	0 1 0 1	123000	2.037
1	-0.9915	3	0 1 0 1	77173	1.474
1	-0.99473	2	0 1 0 1	154577	0.708
1	-1.0611	2	0 1 1 1	39037	3.706
0	0	1	1 1 1 1	6643	0.800
0	0	2	0 1 1 1	78496	2.543
1	-1.0248	1	0 1 1 1	80352	3.075
1	-0.82922	1	1 1 1 1	18860	1.430
1	-1.0505	0	1 1 1 1	45276	1.179
1	-1.0719	1	0 1 1 1	54000	4.664
1	-0.97822	2	0 1 1 1	91800	2.212
1	-0.92819	2	0 1 1 1	43429	2.324
1	-0.90427	2	0 1 1 1	91264	2.705
1	-0.91275	2	0 1 1 1	72000	1.424
1	-1.0361	2	0 1 0 1	174096	1.414
0	0	2	0 1 1 1	70490	1.004
0	0	2	1 1 1 1	18318	1.102
0	0	1	0 1 0 1	145416	1.708
1	-0.72206	1	1 1 1 1	60997	1.867
0	0	1	0 1 1 1	48138	3.795
1	-0.9166	1	1 1 1 1	13375	1.170
1	-0.91312	1	0 1 0 1	173153	1.439
1	-0.86162	2	0 1 1 1	65527	2.538
1	-0.82392	2	0 1 1 1	64020	1.324
1	-0.91039	2	0 1 1 1	37760	1.478
1	-0.70015	1	1 1 1 1	60564	2.815
1	-0.86612	2	0 1 1 1	17936	1.291
